uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes,fragment,in_deck
aws-s3-sse-kms-audit-revoke-mcq-36,mcq,new,https://docs.aws.amazon.com/AmazonS3/latest/userguide/UsingKMSEncryption.html,SSE-KMS: customer managed key lets you create/rotate/disable and define access controls; CloudTrail logs GenerateDataKey and Decrypt for SSE-KMS; default encryption context is the object ARN (bucket ARN when Bucket Keys on); S3 Bucket Keys reduce KMS request cost by up to 99 percent; objects under the aws/s3 AWS managed key cannot be shared cross-account; SSE-S3 is the default for new objects since 2023-01-05,2026-09-21,check-B1,"verified, no change",B1.md,yes
aws-s3-sse-kms-audit-revoke-mcq-36,mcq,new,https://docs.aws.amazon.com/kms/latest/developerguide/concepts.html,"AWS managed keys (alias aws/<service>): you can view key policy and audit use in CloudTrail but cannot change properties, rotate, change key policy or schedule deletion; cannot be used cross-account; customer managed keys: full control of key policy, enable/disable, rotation, deletion, CloudTrail audit",2026-09-21,check-B1,"verified, no change",B1.md,yes
aws-s3-sse-kms-audit-revoke-mcq-36,mcq,new,https://docs.aws.amazon.com/AmazonS3/latest/userguide/ServerSideEncryptionCustomerKeys.html,"SSE-C: S3 never stores the key, you must supply it on every download, key rotation is client-side, AWS managed services cannot decrypt SSE-C objects, HTTPS required; SSE-C disabled by default for new general purpose buckets starting April 2026 (PutBucketEncryption BlockedEncryptionTypes=NONE to enable)",2026-09-21,check-B1,"verified, no change",B1.md,yes
aws-s3-sse-kms-audit-revoke-mcq-36,mcq,new,https://docs.aws.amazon.com/AmazonS3/latest/userguide/bucket-key.html,"With Bucket Keys: KMS CloudTrail events log bucket ARN instead of object ARN, fewer KMS events, subsequent requests using the bucket-level key do not call KMS or validate against the key policy; bucket-level key fetched at least once per requester; up to 99 percent KMS request cost reduction",2026-09-21,check-B1,"verified, no change",B1.md,yes
aws-s3-sse-kms-audit-revoke-mcq-36,mcq,new,https://docs.aws.amazon.com/AmazonS3/latest/userguide/UsingServerSideEncryption.html,SSE-S3: S3 encrypts each object with a unique key and encrypts that key with a key S3 rotates regularly (AES-256 GCM); default for all new uploads since 2023-01-05; no additional charge; no KMS key policy or KMS CloudTrail event involved (supports the SSE-S3 WHY),2026-09-21,check-B1,row added by check-B1 (source for the SSE-S3 distractor WHY),B1.md,yes
aws-45-minute-job-not-lambda-mcq-15,mcq,new,https://docs.aws.amazon.com/lambda/latest/dg/configuration-timeout.html,"Lambda timeout default 3 s, adjustable in 1 s increments up to 900 seconds (15 minutes); Lambda Managed Instances allow 5,400 seconds (90 minutes) for asynchronous and event source mapping invocations",2026-09-21,check-B1,"A: 'Lambda is the trap: its hard limit is 900 seconds' -> 'A standard Lambda function is the trap: ...' (Managed Instances allow 5,400 s for async/ESM, so the blanket claim was overstated)",B1.md,yes
aws-45-minute-job-not-lambda-mcq-15,mcq,new,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/scheduled_tasks.html,"EventBridge Scheduler schedules ECS tasks via the RunTask target with rate, cron (any time zone) or one-time schedules; Fargate launch type selectable; retry up to 185 times, 24 h max retention, optional SQS DLQ",2026-09-21,check-B1,"A: 'Lambda is the trap: its hard limit is 900 seconds' -> 'A standard Lambda function is the trap: ...' (Managed Instances allow 5,400 s for async/ESM, so the blanket claim was overstated)",B1.md,yes
aws-45-minute-job-not-lambda-mcq-15,mcq,new,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/AWS_Fargate.html,"Fargate runs containers without provisioning, configuring or scaling clusters of EC2 instances; new tasks always start on the latest patched platform version revision",2026-09-21,check-B1,"A: 'Lambda is the trap: its hard limit is 900 seconds' -> 'A standard Lambda function is the trap: ...' (Managed Instances allow 5,400 s for async/ESM, so the blanket claim was overstated)",B1.md,yes
aws-45-minute-job-not-lambda-mcq-15,mcq,new,https://aws.amazon.com/fargate/pricing/,"Fargate billed per second with a 1-minute minimum (5-minute minimum for Windows), from image download start until the task terminates; us-east-1 Linux/x86 about $0.0404 per vCPU-hour and $0.00444 per GB-hour",2026-09-21,check-B1,"ledger fact corrected: $0.0044 -> $0.00444 per GB-hour (card text unaffected). A: 'Lambda is the trap: its hard limit is 900 seconds' -> 'A standard Lambda function is the trap: ...' (Managed Instances allow 5,400 s for async/ESM, so the blanket claim was overstated)",B1.md,yes
aws-45-minute-job-not-lambda-mcq-15,mcq,new,https://docs.aws.amazon.com/batch/latest/userguide/fargate.html,"AWS Batch supports Fargate compute environments (ECS orchestrator only): no EC2 instances to provision, configure or scale",2026-09-21,check-B1,"A: 'Lambda is the trap: its hard limit is 900 seconds' -> 'A standard Lambda function is the trap: ...' (Managed Instances allow 5,400 s for async/ESM, so the blanket claim was overstated)",B1.md,yes
aws-45-minute-job-not-lambda-mcq-15,mcq,new,https://docs.aws.amazon.com/lambda/latest/dg/lambda-managed-instances.html,"Lambda Managed Instances run on EC2 managed instances in your account, billable, EC2-based pricing plus a 15 percent management fee, scale to a configured minimum rather than to zero (supports 'runs on EC2 capacity you pay for' in the Lambda WHY)",2026-09-21,check-B1,row added by check-B1 (source for the Managed Instances clause),B1.md,yes
aws-single-az-three-tier-to-ha-mcq-04,mcq,new,https://docs.aws.amazon.com/elasticloadbalancing/latest/application/application-load-balancers.html,"ALB: you must select at least two Availability Zone subnets, each from a different AZ; ELB creates a load balancer node in each enabled zone; targets in a zone that is not enabled receive no traffic; cross-zone load balancing on by default",2026-09-21,check-B1,WHY (second Region): removed unsourced 'roughly doubles the bill'; now 'paying for a second copy of every tier',B1.md,yes
aws-single-az-three-tier-to-ha-mcq-04,mcq,new,https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-add-availability-zone.html,"When one AZ becomes unhealthy or unavailable, EC2 Auto Scaling launches new instances in an unaffected AZ and rebalances when it recovers; add an AZ by adding its subnet to the group and enabling the zone on the load balancer; ALB requires at least two enabled AZs",2026-09-21,check-B1,WHY (second Region): removed unsourced 'roughly doubles the bill'; now 'paying for a second copy of every tier',B1.md,yes
aws-single-az-three-tier-to-ha-mcq-04,mcq,new,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZSingleStandby.html,Multi-AZ DB instance: synchronous standby replica in a different AZ; standby cannot serve read traffic; existing instance converted by modifying it (ModifyDBInstance) and choosing Multi-AZ,2026-09-21,check-B1,WHY (second Region): removed unsourced 'roughly doubles the bill'; now 'paying for a second copy of every tier',B1.md,yes
aws-single-az-three-tier-to-ha-mcq-04,mcq,new,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZ.Failover.html,RDS automatically switches to the standby on infrastructure failure without administrative intervention; failover typically 60-120 seconds; the DNS record of the DB instance is changed automatically to point to the standby,2026-09-21,check-B1,WHY (second Region): removed unsourced 'roughly doubles the bill'; now 'paying for a second copy of every tier',B1.md,yes
aws-single-az-three-tier-to-ha-mcq-04,mcq,new,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.html,"Read replicas replicate asynchronously and are for read scaling; you must create them manually; DR use is via promotion to a standalone instance (a manual step), not automatic failover",2026-09-21,check-B1,WHY (second Region): removed unsourced 'roughly doubles the bill'; now 'paying for a second copy of every tier',B1.md,yes
aws-rds-cross-region-read-replica-dr,mcq,partial,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.XRgn.html,"Cross-Region read replicas supported for Db2, MariaDB, SQL Server, MySQL, Oracle and PostgreSQL; stated use cases include scaling reads into a Region closer to users and DR; higher replication lag than same-Region replicas; data transferred out of the source Region is charged (initial snapshot and every modification); for PostgreSQL a replica is not auto-promoted when the source is deleted",2026-09-21,check-B1,"verified, no change",B1.md,yes
aws-rds-cross-region-read-replica-dr,mcq,partial,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.html,"Updates are copied asynchronously to read replicas; read replica in a Multi-AZ deployment: standby replication is synchronous and the standby cannot serve reads, unlike a read replica",2026-09-21,check-B1,"verified, no change",B1.md,yes
aws-rds-cross-region-read-replica-dr,mcq,partial,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.Promote.html,"Promotion stops replication and reboots the read replica; it becomes a standalone DB instance that can no longer be a replication target; DR pattern = promote, redirect traffic, create a replacement replica",2026-09-21,check-B1,"verified, no change",B1.md,yes
aws-rds-cross-region-read-replica-dr,mcq,partial,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZSingleStandby.html,"Multi-AZ DB instance standby is synchronous, in a different AZ of the same Region, and cannot serve read traffic",2026-09-21,check-B1,"verified, no change",B1.md,yes
aws-rds-cross-region-read-replica-dr,mcq,partial,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-global-database.html,"Aurora Global Database: one primary plus up to 10 secondary Regions, replication latency typically under a second; available only for specific Aurora MySQL and Aurora PostgreSQL versions (Aurora feature, not RDS for PostgreSQL)",2026-09-21,check-B1,"verified, no change",B1.md,yes
aws-d4-compute-service-choice-mcq-13,mcq,new,https://aws.amazon.com/lambda/pricing/,"$0.20 per 1 million requests; x86 $0.0000166667 per GB-second; duration rounded up to the nearest 1 ms; free tier 1 million requests and 400,000 GB-seconds per month; charged only for what you use. Card arithmetic: 2,000 runs x 3 s x 1 GB x 30 days = 180,000 GB-s and 60,000 requests per month",2026-09-21,check-B1,WHY (t3.small): 'billed every hour of the day' -> 'billed for all 24 hours' (On-Demand Linux is per-second billed); '100 minutes of work in 24 hours' -> 'a day',B1.md,yes
aws-d4-compute-service-choice-mcq-13,mcq,new,https://aws.amazon.com/fargate/pricing/,"Fargate billed per second with a 1-minute minimum from image download until task termination, i.e. a continuously running service task is billed for its whole lifetime",2026-09-21,check-B1,WHY (t3.small): 'billed every hour of the day' -> 'billed for all 24 hours' (On-Demand Linux is per-second billed); '100 minutes of work in 24 hours' -> 'a day',B1.md,yes
aws-d4-compute-service-choice-mcq-13,mcq,new,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-spot-instances.html,"Spot uses spare capacity below the On-Demand price; EC2 gives a two-minute interruption notice before reclaiming; suited to flexible, interruptible workloads; you pay the Spot price while the instance runs",2026-09-21,check-B1,WHY (t3.small): 'billed every hour of the day' -> 'billed for all 24 hours' (On-Demand Linux is per-second billed); '100 minutes of work in 24 hours' -> 'a day',B1.md,yes
aws-d4-compute-service-choice-mcq-13,mcq,new,https://docs.aws.amazon.com/lambda/latest/dg/configuration-timeout.html,"Lambda maximum timeout 900 seconds (15 minutes), used for the when-not-Lambda boundary in the explanation",2026-09-21,check-B1,WHY (t3.small): 'billed every hour of the day' -> 'billed for all 24 hours' (On-Demand Linux is per-second billed); '100 minutes of work in 24 hours' -> 'a day',B1.md,yes
aws-abac-tag-based-access-mcq-05,mcq,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction_attribute-based-access-control.html; https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_iam-quotas.html; https://docs.aws.amazon.com/singlesignon/latest/userguide/abac.html; https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_boundaries.html,"ABAC: 'It's not necessary to change the policy to support a new project'; aws:PrincipalTag/aws:ResourceTag matching; Identity Center passes user attributes as session tags into permission sets; managed policy size limit 6,144 characters; permissions boundary 'limits the user's permissions but does not provide permissions on its own'",2026-09-21,check-B2.1,no change: every number and behavioural claim verified on the ledger source pages,B2.1.md,yes
aws-cross-account-s3-two-policies-mcq-13,mcq,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_evaluation-logic-cross-account.html; https://docs.aws.amazon.com/AmazonS3/latest/userguide/about-object-ownership.html; https://docs.aws.amazon.com/AmazonS3/latest/userguide/access-control-block-public-access.html,"'The request is allowed only if both evaluations return a decision of Allow' (identity policy in trusted account + resource policy in trusting account); Object Ownership default = Bucket owner enforced, ACLs disabled, bucket owner owns every object; Block Public Access on by default for new buckets",2026-09-21,check-B2.1,"stem: added ""and must stay private"" so the public-bucket distractor cannot be argued as fewer changes under LEAST amount of change; all facts verified on source pages",B2.1.md,yes
aws-iam-groups-shared-permissions-mcq-04,mcq,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_groups.html; https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_iam-quotas.html; https://docs.aws.amazon.com/singlesignon/latest/userguide/permissionsetsconcept.html,"'User groups can't be nested; they can contain only users'; 'You cannot identify a user group as a Principal in a policy'; inline user policy aggregate size 2,048 characters; groups per account default 300; permission set = template of IAM policies, Identity Center creates a role per account (temporary credentials)",2026-09-21,check-B2.1,no change: every number and behavioural claim verified on the ledger source pages,B2.1.md,yes
