uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-elasticache-lazy-loading-vs-write-through,concept,partial,https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/Strategies.html | https://docs.aws.amazon.com/apigateway/latest/developerguide/api-gateway-caching.html | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/DAX.html,"backlog row aws-caching-tier-placement (3.3). ElastiCache docs: lazy loading = only requested data cached, stale data possible, cache-miss penalty; write-through = never stale, write penalty, missing data on new node, cache churn; 'Adding TTL' combines both. API Gateway stage cache: default TTL 300 s, maximum 3600 s, only GET cached by default. DAX = eventually consistent reads in microseconds.",2026-09-21,check-B3d,No change; every number and behavioural claim re-verified on the listed primary pages.
aws-dynamodb-gsi-vs-lsi,concept,partial,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/LSI.html | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/ServiceQuotas.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.html | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GSI.html,"backlog row aws-data-access-patterns-read-vs-write (3.3); difficulty 3->2 per backlog section 3. LSI: created only at table creation, same partition key, strongly consistent reads allowed, non-projected attributes fetched from table, 10 GB item collection limit per partition key value, up to 5 LSIs per table; default quota 20 GSIs per table. Index writes consume table WCU. RDS: replication to read replicas is asynchronous (replicas replay writes).",2026-09-21,check-B3d,"No text change. Added GSI.html URL: GSI eventually consistent reads only, separate provisioned throughput, any key schema."
aws-dynamodb-capacity-and-keys,concept+pattern,partial,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/provisioned-capacity-mode.html | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/read-write-operations.html | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/on-demand-capacity-mode.html | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/bp-partition-key-design.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Storage.html,"backlog rows aws-database-capacity-planning + aws-dynamodb-capacity-units-pattern (3.3), usage from backlog section 3. 1 RCU = 1 strongly consistent read/s up to 4 KB or 2 eventually consistent; 1 WCU = 1 write/s up to 1 KB; transactional read 2 RCU per 4 KB, transactional write 2 WCU per 1 KB; item sizes round up to next 4 KB (reads) / 1 KB (writes), so 3 KB item = 1 RCU strongly consistent, 3 WCU write. On-demand instantly accommodates up to double the previous peak (throttling possible if exceeded within 30 minutes). Per-partition max 3,000 read units and 1,000 write units per second. RDS: instance class sets CPU/memory; io2 Block Express Provisioned IOPS specified independently of size.",2026-09-21,check-B3d,A: 'so a spike never throttles' softened to 'without throttling (only a jump past that within 30 minutes can throttle)' per on-demand page: throttling can occur if you exceed double the previous peak within 30 minutes. All RCU/WCU/partition numbers re-verified.
aws-rds-multi-az-vs-read-replica,concept,partial,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Limits.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZ.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/Aurora.Replication.html | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GlobalTables.html,"backlog row aws-database-replication-read-replicas (3.3), difficulty 2->1 per row, usage rewritten per backlog section 3. RDS read replicas: asynchronous, read-only, cross-Region supported, promotable to standalone; quota 'Read replicas per primary' = 15 (Oracle: recommend limiting to 5). Multi-AZ DB instance deployment: one synchronous standby that doesn't serve reads; Multi-AZ DB cluster deployment: two standbys that can serve reads. Aurora: up to 15 Aurora Replicas per cluster sharing the cluster volume, reader endpoint, lag usually much less than 100 ms, failover targets. DynamoDB global tables: multi-active, any replica serves reads and writes.",2026-09-21,check-B3d,No change; every number and behavioural claim re-verified on the listed primary pages.
aws-purpose-built-databases-selection,concept,partial,https://docs.aws.amazon.com/memorydb/latest/devguide/what-is-memorydb.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-serverless-v2.how-it-works.html | https://docs.aws.amazon.com/redshift/latest/mgmt/serverless-capacity.html | https://docs.aws.amazon.com/neptune/latest/userguide/neptune-serverless-capacity-scaling.html | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/DAX.html,"backlog row aws-database-types-and-services-map (3.3). MemoryDB: durable in-memory, Valkey/Redis OSS compatible, Multi-AZ transactional log, usable as primary database. Serverless tier confirmed: Aurora Serverless v2 (ACU scaling), Redshift Serverless (RPU), Neptune Serverless (NCU); DynamoDB on-demand. DAX = DynamoDB-compatible cache. QLDB sentence retained from existing card (no new number).",2026-09-21,check-B3d,No change; every number and behavioural claim re-verified on the listed primary pages.
aws-rds-proxy,concept,partial,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-proxy.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/rds-proxy-endpoints.html,"backlog row aws-db-connections-and-proxies (3.3). RDS Proxy: connection pooling, queues or throttles connections that can't be served, IAM auth, credentials in Secrets Manager, must be in the same VPC as the DB and can't be publicly accessible; engines listed on the page: RDS for MariaDB, MySQL, PostgreSQL, SQL Server (plus Aurora MySQL/PostgreSQL per Aurora guide); no DynamoDB/Redshift support. Reader (read-only) proxy endpoints exist only for Aurora clusters; requests to a reader endpoint fail if the target is an RDS instance.",2026-09-21,check-B3d,No change; every number and behavioural claim re-verified on the listed primary pages.
aws-dms-and-sct,concept,partial,https://docs.aws.amazon.com/dms/latest/userguide/Welcome.html | https://docs.aws.amazon.com/rds/latest/auroraextendedcontent/aurora-faq.html | https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Introduction.html,"backlog row aws-db-engines-hetero-vs-homo-migration (3.3). DMS: one-time migrations or ongoing replication (CDC); DMS Schema Conversion / AWS SCT converts schemas for a different target engine; DMS supports same-engine moves. Aurora FAQ: migrate MySQL with mysqldump/mysqlimport or RDS DB snapshot migration, PostgreSQL with pg_dump/pg_restore; Aurora gives up to 15 read replicas and replicates data across three AZs. The old '5x MySQL / 3x PostgreSQL' throughput claim is no longer on the Aurora FAQ, so it was left out.",2026-09-21,check-B3d,No text change. Added CHAP_Introduction URL as the source for 'one endpoint must be in AWS' (was unsourced).
aws-multi-az-vs-multi-region,concept+pattern,partial,https://aws.amazon.com/about-aws/global-infrastructure/regions_az/ | https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-availability-zones.html | https://aws.amazon.com/blogs/architecture/overview-of-data-transfer-costs-for-common-architectures/ | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-global-database.html | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GlobalTables.html,"backlog rows aws-global-infra-az-region-for-databases + aws-availability-zones-pattern (3.3). AZ = one or more discrete data centers with redundant power/networking; AZs many km apart but all within 100 km (60 miles); high-bandwidth low-latency networking, all inter-AZ traffic encrypted. AZ names are mapped independently per account for accounts created before Nov 2025; AZ IDs identify the same physical location in every account. Data transfer within the same AZ is free; cross-AZ transfer is charged (per-GB rate not quoted because the pricing table is loaded dynamically). Aurora Global Database replication latency typically under a second, up to 10 secondary Regions. DynamoDB global tables multi-active.",2026-09-21,check-B3d,No change; every number and behavioural claim re-verified on the listed primary pages.
aws-dynamodb-dax,pattern,partial,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/DAX.html | https://docs.aws.amazon.com/memorydb/latest/devguide/what-is-memorydb.html,"backlog row aws-in-memory-database-pattern (3.3). DAX: DynamoDB-compatible, response times from single-digit ms to microseconds for eventually consistent reads, not for strongly consistent reads or write-intensive apps, EC2-VPC only. MemoryDB: microsecond read and single-digit millisecond write latency, Multi-AZ transactional log, durable primary database, Valkey/Redis OSS compatible.",2026-09-21,check-B3d,No change; every number and behavioural claim re-verified on the listed primary pages.
aws-ebs-volume-types,pattern,partial,https://docs.aws.amazon.com/ebs/latest/userguide/general-purpose.html | https://docs.aws.amazon.com/ebs/latest/userguide/provisioned-iops.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Storage.html,"backlog row aws-provisioned-iops-pattern (3.3). EBS gp3: baseline 3,000 IOPS and 125 MiB/s, provisionable up to 80,000 IOPS and 2,000 MiB/s, no burst; gp2 scales 3 IOPS/GiB with burst credits. io2 Block Express: up to 256,000 IOPS, 1,000:1 IOPS:GiB, sub-millisecond latency; io1: up to 64,000 IOPS, 50:1. RDS gp3: baseline 3,000 IOPS/125 MiB/s (12,000/500 MiB/s striped at 400 GiB+ for MySQL/MariaDB/PostgreSQL/Db2); RDS io2 Block Express 1,000-256,000 IOPS, sub-ms latency, Provisioned IOPS specified independent of size; storage autoscaling supported. Backlog's 'gp3 up to 16,000/1,000' is outdated on the current EBS page (80,000/2,000).",2026-09-21,check-B3d,"A: RDS io2 Block Express 'IOPS independent of size' reworded to 'set separately from the storage size, within the same 1,000:1 ratio' (CHAP_Storage: IOPS:GiB ratio must be 0.5-1,000). gp3 80,000/2,000, io2 256,000, io1 64,000, RDS gp3 3,000/125 re-verified."
