uid,kind,source_url,fact_checked,verified_at,checked_by,changes
ccdvf-batch-async-lifecycle,concept,https://platform.claude.com/docs/en/build-with-claude/batch-processing,"POST /v1/messages/batches creates batch with processing_status in_progress; each request processed independently; poll retrieve until ended; results_url .jsonl; params validation asynchronous, errors reported when whole batch has ended; results accessible when all complete or after 24 h whichever first; unsent requests expire at 24 h.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-custom-id-matching,concept,https://platform.claude.com/docs/en/build-with-claude/batch-processing,"Results may be returned in any order, use custom_id to match; custom_id 1-64 chars matching ^[a-zA-Z0-9_-]{1,64}$; troubleshooting: ensure each request has a unique custom_id; result.error uses the standard error shape (python sample reads outcome.error.error.type).",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-result-types,concept,https://platform.claude.com/docs/en/build-with-claude/batch-processing,"Four result types succeeded/errored/canceled/expired; errored, canceled and expired are not billed; expired = 24-hour expiration before request sent to model; request_counts overview; failure of one request does not affect others.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-cancel-and-retention,concept,https://platform.claude.com/docs/en/build-with-claude/batch-processing | https://platform.claude.com/docs/en/manage-claude/api-and-data-retention,"Batch cannot be modified after submission (cancel and resubmit); cancel endpoint, processing_status canceling, cancellation may not take immediate effect; results available 29 days from created_at (not ended_at); DELETE /v1/messages/batches/{id} after processing, cancel in-progress first; request/response data stored up to 29 days; Batch processing not ZDR eligible.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-files-create-once-use-many,concept,https://platform.claude.com/docs/en/build-with-claude/files,"Upload returns file_id; create-once use-many; document block for PDF and text/plain, image block for image/jpeg png gif webp, container_upload for code execution; source {type: file, file_id}; upload/download/list/metadata/delete free, content billed as input tokens; Files API out of beta, no beta header needed.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-files-workspace-scope,concept,https://platform.claude.com/docs/en/build-with-claude/files | https://platform.claude.com/docs/en/build-with-claude/batch-processing,"Uploaded files accessible to entire workspace, not scoped to end user/conversation/session; any API key in the workspace can access any file; every service account and API-enabled user can use the Default Workspace; multi-tenant: one workspace per tenant, workspace is the isolation boundary; never accept file IDs from untrusted sources; batches also scoped to workspace.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-files-download-rule,concept,https://platform.claude.com/docs/en/build-with-claude/files,downloadable false for uploads; only files created by skills or code execution tool downloadable; downloading an uploaded file returns 400; file_id of generated file appears in bash_code_execution_tool_result block; generated image/video/audio carry C2PA Content Credentials on the Claude API.,2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-data-conversation-history-resend,concept,https://platform.claude.com/docs/en/build-with-claude/vision | https://platform.claude.com/docs/en/build-with-claude/files,"Each request resends the full conversation history; base64 image bytes included on every turn, increasing size and latency; Claude has access to every image from earlier turns; Files API upload once and reference file_id reduces payload.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-data-source-types,concept,https://platform.claude.com/docs/en/build-with-claude/pdf-support | https://platform.claude.com/docs/en/build-with-claude/vision | https://platform.claude.com/docs/en/build-with-claude/files | https://platform.claude.com/docs/en/build-with-claude/token-counting | https://platform.claude.com/docs/en/api/overview,"Three sources: url, base64, file_id; on Amazon Bedrock and Google Cloud only base64 sources available; on Foundry Files API requires Hosted on Anthropic deployment; token counting endpoint does not support url or file document sources; request size limits 32 MB Claude API, Bedrock 20 MB, Google Cloud 30 MB.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-platform-operator-matrix,concept,https://platform.claude.com/docs/en/build-with-claude/overview | https://platform.claude.com/docs/en/api/overview | https://platform.claude.com/docs/en/build-with-claude/claude-platform-on-aws | https://platform.claude.com/docs/en/build-with-claude/claude-in-amazon-bedrock | https://platform.claude.com/docs/en/build-with-claude/claude-on-vertex-ai | https://platform.claude.com/docs/en/build-with-claude/claude-in-microsoft-foundry | https://platform.claude.com/docs/en/about-claude/model-deprecations,"Platform labels: Claude API (Anthropic first-party), Bedrock (AWS-operated), Claude Platform on AWS (Anthropic-operated on AWS), Google Cloud (Google-operated), Microsoft Foundry (Anthropic-operated on Azure); Bedrock endpoint /anthropic/v1/messages; Batches and Files availability Claude API + Claude Platform on AWS (+Foundry beta for Files); code execution not on Bedrock/Google Cloud; Bedrock anthropic-beta header not supported; partner platforms set own lifecycle dates.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-model-id-pinning-dateless,concept,https://platform.claude.com/docs/en/about-claude/models/model-ids-and-versions,"4.6+ dateless ID is canonical pinned snapshot; Anthropic does not update weights/configuration of an existing ID; updates ship under new ID; pre-4.6 aliases (claude-sonnet-4-5) resolve to most recent dated snapshot; every ID has its own deprecation schedule; serving infrastructure (router, safety classifiers, sampling logic) can cause minor observable differences.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-model-alias-vs-id-by-platform,concept,https://platform.claude.com/docs/en/about-claude/models/model-ids-and-versions | https://platform.claude.com/docs/en/about-claude/models/overview | https://code.claude.com/docs/en/model-config | https://platform.claude.com/docs/en/build-with-claude/claude-in-microsoft-foundry,"Claude API formats claude-{name}-{major}[-{minor}] and claude-{name}-{major}-{minor}-{YYYYMMDD}; Bedrock anthropic. prefix, older anthropic.claude-...-{date}-v1:0; Google Cloud @{YYYYMMDD}; us.anthropic. inference-profile example from Claude Code model-config pin table; Foundry deployment name defaults to model ID, custom names allowed, cannot be renamed; pre-4.6 Claude API aliases are convenience pointers.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-model-lifecycle-states,concept,https://platform.claude.com/docs/en/about-claude/model-deprecations,"Active/Legacy/Deprecated/Retired definitions; at least 60 days notice before retirement for publicly released models; email notifications to customers with active deployments; dates apply to Anthropic-operated platforms (Claude API, Claude Platform on AWS, Foundry), Bedrock and Google Cloud set their own; Usage page Export CSV by API key and model.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-claude-md-context-not-enforcement,concept,https://code.claude.com/docs/en/memory,CLAUDE.md and auto memory treated as context not enforced configuration; use PreToolUse hook / permissions.deny to block; settings rules enforced by client regardless of model; target under 200 lines; specificity examples (Run npm test before committing); loaded at start of every session.,2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-claude-md-scope-levels,concept,https://code.claude.com/docs/en/memory,"Managed policy paths macOS /Library/Application Support/ClaudeCode/CLAUDE.md, Linux /etc/claude-code/CLAUDE.md; ~/.claude/CLAUDE.md; ./CLAUDE.md or ./.claude/CLAUDE.md; ./CLAUDE.local.md gitignored; load order broadest to most specific; cwd and ancestors loaded at launch, concatenated root-down, subdirectories on demand; /init generates starting file.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-settings-file-scopes,concept,https://code.claude.com/docs/en/settings,"Four files + managed: user ~/.claude/settings.json, shared project .claude/settings.json (commit), project local .claude/settings.local.json (Claude Code writes standing approvals, adds to global git excludes), managed (managed-settings.json, MDM, claude.ai console) not overridable apart from security-sensitive exceptions; strict JSON, comment/trailing comma = Settings Error.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-limits-numbers,feature,https://platform.claude.com/docs/en/build-with-claude/batch-processing | https://platform.claude.com/docs/en/api/overview | https://platform.claude.com/docs/en/about-claude/pricing,"100,000 requests or 256 MB whichever first; 413 request_too_large over 256 MB; 50% of standard prices on input, output, special tokens; Opus 5 batch $2.50/$12.50 per MTok (as of 2026-09); discounts stack with prompt caching; most batches < 1 hour, 24-hour expiry; results 29 days; workspace-scoped; max_tokens >= 1; may go slightly over spend limit.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-unsupported-params,feature,https://platform.claude.com/docs/en/build-with-claude/batch-processing,"stream: true, speed (fast mode), max_tokens: 0 return validation error in batch; what can be batched: vision, tool use incl. all server tools, system, multi-turn, extended thinking, most betas; extended output beta output-300k-2026-03-24 raises max_tokens to 300,000 on Opus 5/4.8/4.7/4.6, Sonnet 5/4.6, batch only, Claude API and Claude Platform on AWS only, not Bedrock/Google Cloud/Foundry.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"Stem said ""The batch is rejected""; batch-processing page states params validation is asynchronous and errors are returned when processing of the whole batch has ended, so the request surfaces as an errored result. Stem and A corrected; A trimmed to 118 words. All other numbers re-verified (300,000 max_tokens, output-300k-2026-03-24, model list, Claude API + Claude Platform on AWS only)."
ccdvf-files-limits-expiration,feature,https://platform.claude.com/docs/en/build-with-claude/files | https://platform.claude.com/docs/en/manage-claude/api-and-data-retention,"500 MB per file (413), 1 TB per organization (400 storage limit exceeded), filename 1-255 chars, ~500 requests per minute; expires_in_seconds 3,600 to 7,776,000; expires_at RFC 3339 null when none; after expiry content GET 404, Messages request fails before inference, metadata readable up to 30 days, still listed; expiration not a guaranteed-deletion control, content may be retained for safety review; Files API not ZDR eligible.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-bedrock-messages-endpoint,feature,https://platform.claude.com/docs/en/build-with-claude/claude-in-amazon-bedrock | https://platform.claude.com/docs/en/build-with-claude/claude-platform-on-aws,"pip install anthropic[bedrock]; AnthropicBedrockMantle(aws_region); endpoint https://bedrock-mantle.{region}.api.aws/anthropic/v1/messages, standard SSE, same body shape; anthropic. prefix IDs; AWS credential precedence; service role recommended, IAM assumed roles 12-hour max, bearer tokens 12-hour max least preferred via x-api-key; features not supported list (structured outputs, input sources incl. Files, server-side tools, Skills/MCP connector/PTC, Batches/Models/Admin endpoints, Managed Agents, server-side fallback); anthropic-beta header not supported (comparison table); global no premium, regional 10% premium.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-vertex-request-differences,feature,https://platform.claude.com/docs/en/build-with-claude/claude-on-vertex-ai | https://platform.claude.com/docs/en/api/overview,"model in endpoint URL not body; anthropic_version in body = vertex-2023-10-16; AnthropicVertex(project_id, region); gcloud auth application-default login; rawPredict URL; IDs dateless for 4.6+, @date for older; global/multi-region (us, eu)/regional endpoints; regional and multi-region 10% premium; global pay-as-you-go only; provisioned throughput requires regional; 30 MB payload limit; not supported: input sources incl. Files, code execution/web fetch/advisor, Skills/MCP/PTC, Batches etc.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-foundry-deployment-and-auth,feature,https://platform.claude.com/docs/en/build-with-claude/claude-in-microsoft-foundry,"model parameter = deployment name, defaults to model ID, cannot be changed after creation; endpoint https://{resource}.services.ai.azure.com/anthropic/v1/*; api-key or x-api-key header, or Authorization: Bearer Entra ID token (expire ~1 hour), RBAC Foundry User; env ANTHROPIC_FOUNDRY_API_KEY / _RESOURCE / _BASE_URL, resource and base_url mutually exclusive; Hosted on Azure vs Hosted on Anthropic table; US Data Zone Standard; hosted-on-Azure unsupported features return 400; Batches and Models API not supported on Foundry.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-settings-precedence,feature,https://code.claude.com/docs/en/settings | https://code.claude.com/docs/en/hooks,"Precedence: managed > --settings command line > .claude/settings.local.json > .claude/settings.json > ~/.claude/settings.json; --settings cannot override managed; list keys (permissions.allow) merge; hooks merge across levels (hooks page); fallbackModel/modelPicker/availableModels whole-value rules; env vars not a level, ANTHROPIC_MODEL overrides model from any file, --model overrides both; /status Setting sources.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-plugin-dependency-version-constraints,feature,https://code.claude.com/docs/en/plugin-dependencies,"dependencies array in .claude-plugin/plugin.json; bare string or object {name, version, marketplace}; semver ranges ~2.1.0 ^2.0 >=1.4 =2.1.0; tags {plugin-name}--v{version}; claude plugin tag --push; highest satisfying tag; ranges intersected, range-conflict; auto-update within range; enabling enables deps, disabling refused while required; claude plugin prune; allowCrossMarketplaceDependenciesOn.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-cache-seed-1h,pattern,https://platform.claude.com/docs/en/build-with-claude/batch-processing | https://platform.claude.com/docs/en/build-with-claude/prompt-caching,"Batch cache hits best-effort (concurrent, any order); FAQ pattern: single-request batch with 1-hour cache block, then submit rest after it completes; 1h write 2x base input, cache read 0.1x (0.025x on Fable 5.1 / Mythos 5.1); ttl 1h syntax; discounts stack; max_tokens: 0 rejected in batch; maintain steady stream to avoid 5-minute expiry.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-error-triage,pattern,https://platform.claude.com/docs/en/build-with-claude/batch-processing,"errored with invalid_request_error: request body must be fixed before re-sending; other errors can be retried directly (python sample); expired: unbilled, resubmit; failure of one request does not affect others; dry run a single request shape with the Messages API to avoid validation errors; validation asynchronous.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-files-vs-base64-vs-url,pattern,https://platform.claude.com/docs/en/build-with-claude/files | https://platform.claude.com/docs/en/build-with-claude/pdf-support | https://platform.claude.com/docs/en/build-with-claude/vision | https://platform.claude.com/docs/en/build-with-claude/token-counting | https://platform.claude.com/docs/en/api/overview | https://platform.claude.com/docs/en/manage-claude/api-and-data-retention,"Three sources; Bedrock/Google Cloud base64 only; token counting base64 only; request caps 32/20/30 MB; file_id for repeated use and multi-turn; Files free ops, input tokens billed; workspace visibility; Files not ZDR eligible.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-aws-bedrock-vs-claude-platform,pattern,https://platform.claude.com/docs/en/build-with-claude/claude-platform-on-aws | https://platform.claude.com/docs/en/build-with-claude/claude-in-amazon-bedrock,"Comparison table: operator Anthropic vs AWS; API surface /v1/{endpoint} vs /anthropic/v1/messages; feature availability same-day vs Bedrock schedule; Skills available (beta) vs not; beta headers pass through vs not supported; billing AWS Marketplace vs native AWS; separate capacity pool, fail over; when to choose Bedrock: FedRAMP High, IL4, IL5, HIPAA-ready, AWS sole data processor; Claude Platform on AWS uses Claude API IDs and lifecycle; Batches/Files available on Claude Platform on AWS (Files beta).",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"Files API is beta on Claude Platform on AWS (Features overview availability column: claudePlatformAwsBeta), card said only Skills was beta; wording changed to ""Files (beta) and Skills (beta)"". Comparison-table facts, FedRAMP High/IL4/IL5/HIPAA-ready, separate capacity pools, CCU billing re-verified."
ccdvf-foundry-hosting-option-choice,pattern,https://platform.claude.com/docs/en/build-with-claude/claude-in-microsoft-foundry | https://platform.claude.com/docs/en/build-with-claude/overview,"Hosting options table; Hosted on Azure: Anthropic-operated on Azure infra, latest Opus/Sonnet/Haiku, Global Standard + US Data Zone Standard, recommended for most workloads; prompts/completions remain within Azure, only usage metadata and flagged content egress; features unsupported when hosted on Azure: code execution, web search/fetch versions later than web_search_20250305 / web_fetch_20250910, Agent Skills, PTC, Files API; 400 by design; Hosted on Anthropic: all models, Global Standard only; CCU billing via Azure Marketplace; Batches and Models API unsupported; no anthropic-ratelimit headers.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-model-upgrade-as-release,pattern,https://platform.claude.com/docs/en/about-claude/model-deprecations | https://platform.claude.com/docs/en/about-claude/models/model-ids-and-versions | https://platform.claude.com/docs/en/build-with-claude/token-counting | https://platform.claude.com/docs/en/build-with-claude/claude-in-amazon-bedrock,"At least 60 days notice; usage audit via Console Usage export CSV; test with newer models well before retirement; temperature/top_p/top_k deprecated, 400 on 4.7+ for non-default values; 4.7+ tokenizer ~30 percent more tokens; /claude-api migrate skill in Claude Code applies model ID swaps and breaking parameter changes per platform; IDs are pinned snapshots.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-claude-code-model-pin-third-party,pattern,https://code.claude.com/docs/en/model-config,"Aliases resolve to built-in default per provider, may lag and may not be enabled in account on Bedrock/Google Cloud; pin with ANTHROPIC_DEFAULT_OPUS/SONNET/HAIKU/FABLE_MODEL using provider IDs (us.anthropic.claude-opus-4-8, us.anthropic.claude-sonnet-4-5-20250929-v1:0 recognized example); [1m] suffix stripped before send; modelOverrides maps Anthropic IDs to inference profile ARNs / deployment names; availableModels allowlist; setting-model priority /model > --model > ANTHROPIC_MODEL > settings model > ANTHROPIC_DEFAULT_MODEL.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-config-instruction-vs-enforcement,pattern,https://code.claude.com/docs/en/memory | https://code.claude.com/docs/en/permissions | https://code.claude.com/docs/en/settings,"CLAUDE.md under 200 lines; .claude/rules/ with paths frontmatter load when matching files read; skills for task-specific procedures; settings permissions.deny enforced by client, CLAUDE.md not hard enforcement; claudeMdExcludes glob patterns in .claude/settings.local.json, arrays merge across layers; managed policy CLAUDE.md cannot be excluded; Edit(path) deny rule syntax, deny rules match a single-segment directory at any depth (permissions page).",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-vs-realtime-mcq,mcq,https://platform.claude.com/docs/en/build-with-claude/batch-processing | https://platform.claude.com/docs/en/about-claude/pricing,"50% discount; 24-hour window; up to 100,000 requests per batch; fast mode not available with Batch API (pricing page), speed rejected in batch; prompt caching discounts prefix only; Batches API has its own rate limits.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"Stem rewritten: overnight/next-morning cost scenario resembled exam guide Sample 1 (Domain 2); now a 180,000-note three-day backfill (two batches under the 100,000-per-batch cap and the 200,000 Start-tier processing-queue limit on api/rate-limits); cache distractor WHY now names the concrete reason (only the cached prefix is discounted, note + output tokens billed in full); A adjusted; fast mode not available with Batch API re-verified on pricing page."
ccdvf-batch-results-join-mcq,mcq,https://platform.claude.com/docs/en/build-with-claude/batch-processing,Results can be returned in any order; always use custom_id to match; message id is generated on the created message in the result.,2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
ccdvf-batch-latency-mismatch-mcq,mcq,https://platform.claude.com/docs/en/build-with-claude/batch-processing | https://platform.claude.com/docs/en/api/rate-limits,"Batch may take up to 24 hours, best effort; results available only when processed; Batches API RPM limits (Start tier 1,000 RPM); max_tokens limits output length, not price.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"Distractor ""lower max_tokens"" replaced: mirrored Sample 1 option C in the exam guide. New distractor: off-peak scheduling for lower per-token prices, WHY names the documented price modifiers (caching, batch, fast mode, data residency) and that time of day is not one (pricing page)."
ccdvf-batch-expired-results-mcq,mcq,https://platform.claude.com/docs/en/build-with-claude/batch-processing,"expired = batch reached 24-hour expiration before request sent, not billed; each request independent; results 29 days; no automatic retry documented; best practice implement retry logic yourself.",2026-09-21,D2b fact-check 2026-09-21 (independent pass; source pages fetched as raw markdown from platform.claude.com and code.claude.com),"no change; every claim, number and default re-verified on the listed source pages; MCQ key sequence, star count vs choose-N, qualifier verbatim in stem and distractor WHYs confirmed; no resemblance to the exam guide sample items"
