uid,kind,domain,task,service,unit,title,must_teach,qualifier,distractor_angles,difficulty,priority,status,existing_uid,gap_note,batch
aws-abac-tag-based-access-mcq-05,mcq,D1,1.1,IAM,"S: flexible authorization model (users, groups, roles, policies)",Hundreds of projects; teams touch only resources tagged with their project,"Correct: ABAC - a single policy with Condition StringEquals aws:ResourceTag/project = aws:PrincipalTag/project, with tags set on roles/Identity Center attributes and enforced on resource creation. New projects need no new policies.",least-ops,"one IAM group and policy per project listing ARNs (does not scale, policy size limits); one account per project (plausible but heavy; not 'least change'); permissions boundary per project (caps, does not grant by tag); SCP per project (SCPs are account-level)",2,P0,new,,,B2.1 P0 新卡
aws-control-tower-new-landing-zone-mcq-11,mcq,D1,1.1,AWS Control Tower,"S: security strategy for multiple accounts (Control Tower, SCPs)",New company: 20 accounts with guardrails and self-service account creation,"Correct: Control Tower - landing zone with log archive and audit accounts, controls, and Account Factory. Plain Organizations needs you to hand-build all of it.",least-ops,"Organizations with hand-written SCPs and StackSets (works, more ops); Service Catalog alone (only provisioning); Config aggregator plus Security Hub (detective only, no account vending); one account with separate VPCs (violates blast-radius requirement)",1,P1,new,,,B4.1 P1 新卡
aws-cross-account-s3-two-policies-mcq-13,mcq,D1,1.1,Amazon S3,S: appropriate use of resource policies,Role in account B must read a bucket in account A - minimal correct change,"Correct: bucket policy in A allowing the B role ARN, plus the B role's identity policy allowing s3:GetObject on that bucket; set Object Ownership to bucket owner enforced so uploaded objects are readable. One side alone fails cross-account.",least-change,"only an identity policy in B (cross-account needs the resource side); make the bucket public and rely on Block Public Access being off (over-exposed); create an IAM user in A and share keys (long-lived keys); object ACLs per object (legacy, does not scale)",2,P0,new,,,B2.1 P0 新卡
aws-iam-groups-shared-permissions-mcq-04,mcq,D1,1.1,IAM,"S: flexible authorization model (users, groups, roles, policies)","50 developers need identical permissions, new hires must be onboarded quickly - least ops","Correct: put users in an IAM group with a customer-managed policy (or better, an Identity Center group with a permission set). Groups cannot be nested and cannot be principals in resource policies.",least-ops,inline policy copied to each user (does not scale); one shared IAM user (violates individual accountability); nested groups (do not exist); resource policies listing each user (wrong policy type),1,P0,new,,,B2.1 P0 新卡
aws-iam-mfa-for-destructive-api-mcq-02,mcq,D1,1.1,IAM,S: best practices for IAM users and root users (MFA),Require MFA before IAM users can terminate instances or delete buckets,Correct: identity policy (or permissions boundary) with Condition Bool aws:MultiFactorAuthPresent true on the destructive actions. Trap: putting the same condition in an SCP blocks service roles that never have MFA context.,most-secure,SCP denying all actions without MFA (violates constraint: breaks workload roles); strengthen the password policy (wrong feature); CloudTrail + EventBridge alert on terminate (detective only); require MFA only at console sign-in (does not cover CLI/API),2,P0,new,,,B2.1 P0 新卡
aws-identity-account-hub-roles-mcq-09,mcq,D1,1.1,IAM,"S: role-based access control strategy (STS, role switching, cross-account)","Central identity account, users switch into dev/prod accounts - what must exist where",Correct: a role in each target account whose trust policy allows the identity account (or its specific principals) plus an identity policy in the identity account allowing sts:AssumeRole on those role ARNs. SCPs and resource policies do not create this path.,least-ops,"duplicate IAM users in every account (violates single identity); an SCP that grants access to prod (SCPs never grant); resource policies on every service (unworkable); Identity Center enabled but no permission set assignments (right service, incomplete)",2,P1,new,,,B4.1 P1 新卡
aws-identity-center-with-ad-connector-mcq-16,mcq,D1,1.1,AWS IAM Identity Center,S: when to federate a directory service with IAM roles,"On-prem AD, 15 accounts, no directory data may be stored in AWS - workforce SSO design",Correct: IAM Identity Center with AD Connector (over VPN/DX) as the identity source and permission sets per group. Managed Microsoft AD with a trust stores directory data in AWS; Simple AD cannot trust; Cognito is for customers.,least-change,"Managed Microsoft AD with a two-way trust (violates 'no directory data in AWS'); Simple AD synced by script (no trust, no MFA); Cognito user pool with SAML (customer identity tool); IAM users created by a sync job (long-lived credentials)",2,P1,new,,,B4.1 P1 新卡
aws-managed-vs-inline-policy-choice-mcq-06,mcq,D1,1.1,IAM,"S: flexible authorization model (users, groups, roles, policies)",Reusable permission set updated in one place vs a one-off permission tied to a single role,"Correct: customer-managed policy for the reusable set (versioned, attach to many roles, edit once), inline policy for the strict one-to-one permission that must die with the role; AWS-managed policies cannot be edited.",least-change,edit the AWS managed policy (impossible); inline policy copied into every role (no central update); resource policy on each service (wrong policy type); permissions boundary (caps rather than grants),2,P1,new,,,B4.1 P1 新卡
aws-protect-cloudtrail-org-wide-mcq-12,mcq,D1,1.1,AWS CloudTrail,"S: security strategy for multiple accounts (Control Tower, SCPs)","No member principal, even root, can stop logging or leave the org - choose two",Correct pair: (1) SCP at the root denying cloudtrail:StopLogging/DeleteTrail/UpdateTrail and organizations:LeaveOrganization; (2) an organization trail owned by the management account writing to a central bucket. IAM policies cannot bind root; Config and log validation are detective/integrity only.,choose-two,"IAM deny policy on root in each member account (root ignores IAM); attach the SCP to the management account (no effect); Config rule cloudtrail-enabled with remediation (detective, can be raced); enable log file validation (integrity, not prevention)",3,P1,new,,,B4.1 P1 新卡
aws-role-chaining-one-hour-limit-mcq-08,mcq,D1,1.1,IAM,"S: role-based access control strategy (STS, role switching, cross-account)",Ten-hour job assumes a role from another role and dies after one hour - fix,"Correct: role chaining caps sessions at 1 hour regardless of MaxSessionDuration; have the compute's own role (instance profile/task role) be trusted directly by the target role and set MaxSessionDuration up to 12 hours, or make the job re-assume and refresh credentials.",fastest,raise MaxSessionDuration on the chained role to 12 h (ignored for chaining); use GetSessionToken (only for IAM users); switch to an IAM user with keys (violates best practice); add DurationSeconds=43200 to the AssumeRole call (rejected for chained sessions),3,P1,new,,,B4.1 P1 新卡
