uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-cloudfront-lambda-edge-vs-functions,pattern,partial,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/edge-functions-choosing.html | https://aws.amazon.com/about-aws/whats-new/2021/05/cloudfront-functions/ | https://aws.amazon.com/lambda/pricing/,"CloudFront Functions: viewer request/response only, submillisecond, millions of req/s, no network/file system/body access, JavaScript; priced $0.1 per million invocations. Lambda@Edge: all four events, Node.js/Python, up to 30 s, network+body access; $0.60 per 1M requests + $0.00000625125 per 128MB-second (=6x per request). Backlog rows 145 (uid aws-d4-pat-edge-functions-cost). Difficulty d3->d2 per row + backlog s3 stem-trim note (stem 208 chars, was 294).",2026-09-21,check-B3f,"No text change. Verified: CloudFront Functions viewer request/response only, submillisecond, 'up to millions of requests per second', no network/file system/body; Lambda@Edge Node.js/Python, up to 30 s on all four events (edge-functions-choosing.html); $0.1 per million invocations (whats-new 2021/05 cloudfront-functions); Lambda@Edge $0.60 per 1M requests + $0.00000625125 per 128MB-s (lambda/pricing); origin request/response 'executes only when CloudFront forwards a request to your origin' (lambda-cloudfront-trigger-events.html)."
aws-lambda-pricing-and-graviton,pattern,partial,https://aws.amazon.com/ec2/graviton/ | https://aws.amazon.com/about-aws/whats-new/2021/11/aws-fargate-amazon-ecs-aws-graviton2-processors/ | https://aws.amazon.com/fargate/pricing/ | https://aws.amazon.com/lambda/pricing/,"Graviton EC2 'cost up to 20% less than comparable x86'; Graviton available in Aurora/RDS; Fargate Graviton2 'up to 40% improved price/performance' and '20% lower cost'; Fargate pricing x86 $0.040478/vCPU-h vs ARM $0.032380 (~19% less); Lambda x86 $0.0000166667 vs arm $0.0000133334 per GB-s (~20% less); free tier 1M requests + 400,000 GB-s. Backlog row 146 (uid aws-d4-pat-graviton-price-performance).",2026-09-21,check-B3f,"A: '40% better price performance' is not on aws.amazon.com/ec2/graviton (page states only 'cost up to 20% less'); re-attributed to the Fargate Graviton2 launch (https://aws.amazon.com/about-aws/whats-new/2021/11/aws-fargate-amazon-ecs-aws-graviton2-processors/ 'up to 40% improved price/performance at 20% lower cost'). Fargate arm64 '19%' -> '20%' (0.0000089944/0.000011244 = 0.80 on https://aws.amazon.com/fargate/pricing/). Replaced unverifiable '128 MB can cost more than 1,024 MB' with the documented CPU rule: 1 vCPU at 1,769 MB, CPU proportional to memory (https://docs.aws.amazon.com/lambda/latest/dg/configuration-memory.html); Lambda arm 20% confirmed ($0.0000133334 vs $0.0000166667 per GB-s, https://aws.amazon.com/lambda/pricing/)."
aws-savings-plans-vs-reserved-instances,pattern,partial,https://aws.amazon.com/ec2/pricing/reserved-instances/ | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/reserved-instances-scope.html,"Standard RI up to 72%, Convertible RI up to 66% (backlog's 54% is stale; kept the live card's 66%); All/Partial/No Upfront; 1- or 3-year; RI Marketplace resells Standard RIs; Standard RIs modifiable (AZ, Linux size, network), Convertible exchangeable; zonal RI reserves capacity in the AZ, regional RI does not but gives AZ + size flexibility. Non-EC2 reservations (RDS/ElastiCache/OpenSearch/Redshift/DynamoDB) named without numbers. Backlog row 147 (uid aws-d4-pat-reserved-instances).",2026-09-21,check-B3f,"No text change. Verified: Compute SP up to 66%, EC2 Instance SP up to 72% (https://aws.amazon.com/savingsplans/compute-pricing/); Standard RI 72% / Convertible 66%, Standard RIs sellable on RI Marketplace (https://aws.amazon.com/ec2/pricing/reserved-instances/); zonal RI reserves capacity, regional does not (reserved-instances-scope.html); 'Savings Plans does not provide a capacity reservation' and recommendation based on historical On-Demand usage (https://aws.amazon.com/savingsplans/faq/); SPs apply after EC2 RIs (https://docs.aws.amazon.com/savingsplans/latest/userguide/sp-applying.html); Spot 'not covered by Savings Plans' (https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-spot-instances.html)."
aws-asg-scaling-policies,pattern,partial,https://docs.aws.amazon.com/autoscaling/ec2/userguide/predictive-scaling-policy-overview.html | https://docs.aws.amazon.com/solutions/latest/instance-scheduler-on-aws/solution-overview.html,"Predictive scaling needs at least 24 hours of data, analyzes up to the past 14 days, forecasts 48 hours, refreshed every 6 hours, forecast-only mode, scales out only (dynamic policy needed to scale in), max of all policies applies. Instance Scheduler on AWS starts/stops EC2 and RDS on schedules, 'up to 70% cost savings' for business-hours-only instances (168h->50h). Backlog row 148 (uid aws-d4-pat-scheduled-predictive-scaling-cost).",2026-09-21,check-B3f,"No text change. Verified: 24 h minimum, up to 14 days analysed, 48 h forecast every 6 h, forecast-only mode, scales out only, desired = max of all policies (predictive-scaling-policy-overview.html); Instance Scheduler EC2+RDS 'up to 70%' 168h->50h (solution-overview.html); simple scaling single adjustment + cooldown, target tracking recommended (as-scaling-simple-step.html)."
aws-elasticache-lazy-loading-vs-write-through,concept,partial,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/DAX.html | https://aws.amazon.com/elasticache/pricing/,"DAX 'reduce the number of read capacity units that you need to purchase', eventually consistent reads only, not for write-intensive, best when hit rate >90%. ElastiCache Serverless billed in GB-hours + ECPUs; reserved nodes up to 55% (All Upfront), 52% partial, 48.2% no upfront. Backlog row 149 (uid aws-d4-caching-strategies-cost).",2026-09-21,check-B3f,"No text change. Verified lazy loading (only requested data, stale risk), write-through (never stale, write penalty, churn), TTL as the compromise (ElastiCache Strategies.html); DAX 'reduce the number of read capacity units', not for write-intensive or strongly consistent, best >90% hit rate (DAX.html)."
aws-dynamodb-streams-and-ttl,concept,partial,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/TTL.html | https://aws.amazon.com/dynamodb/pricing/on-demand/ | https://aws.amazon.com/rds/faqs/ | https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/Working-with-log-groups-and-streams.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/lifecycle-expire-general-considerations.html,"TTL deletes 'within a few days' 'without consuming write throughput', seconds-granularity epoch, expired items remain in Scan/Query until deleted, service deletes appear in Streams; PITR $0.20 per GB-month; RDS 'free backup storage up to your account's total provisioned database storage across the entire region', retention up to 35 days, automated backups deleted with instance, manual snapshots retained; CloudWatch Logs 'stored indefinitely' by default; S3 Expiration / NoncurrentVersionExpiration actions, no charge for expiration. Backlog row 150 (uid aws-d4-data-retention-policies).",2026-09-21,check-B3f,"No text change. Verified TTL: epoch seconds, deleted 'within a few days' 'without consuming write throughput', 'service deletions' in Streams, filter expressions for Scan/Query (TTL.html); PITR $0.20/GB-month (dynamodb pricing); RDS free backup storage up to provisioned storage per Region, 35 days max, automated backups deleted with instance, manual snapshots retained (rds/faqs); CloudWatch Logs 'stored indefinitely' by default (Working-with-log-groups-and-streams.html)."
aws-dynamodb-capacity-and-keys,concept+pattern,partial,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/ProvisionedThroughput.html | https://aws.amazon.com/dynamodb/pricing/on-demand/ | https://aws.amazon.com/dynamodb/pricing/provisioned/ | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/reserved-capacity.html,"1 RCU = 1 strongly consistent read/s (or 2 eventually consistent) up to 4 KB; 1 WCU = 1 write/s up to 1 KB; recommended auto scaling target 70%; switch provisioned->on-demand up to 4 times per 24-hour rolling window, on-demand->provisioned any time (backlog's 'once per 24 h' is stale); on-demand $0.625 per million writes, $0.125 per million reads; provisioned $0.00065 per WCU-hour, $0.00013 per RCU-hour (=> ~$0.18 per million fully used writes, break-even ~29% utilization; backlog's '5-7x / 14%' is stale); reserved capacity 1-year up to 54%, 3-year up to 77%, Standard class + provisioned only; Standard-IA storage $0.10 vs $0.25 per GB-month. Merges backlog rows 151 (aws-d4-database-capacity-planning-units) + 156 (aws-d4-pat-dynamodb-capacity-modes-reserved) + backlog s3 'add usage' note.",2026-09-21,check-B3f,"USAGE: added the Standard-IA table class ($0.10 vs $0.25 per GB-month, https://aws.amazon.com/dynamodb/pricing/on-demand/) that backlog row 156 must_teach names and the card omitted. Verified: 1 RCU = 1 strongly consistent 4 KB read/s, 1 WCU = 1 KB write/s, 70% recommended target, 4 switches per 24 h (ProvisionedThroughput.html, bp-switching-capacity-modes.html); transactional reads/writes need 2 units (read-write-operations.html); $0.00065/WCU-h, $0.625/M on-demand writes, reserved 54%/77% (pricing/provisioned/, reserved-capacity.html)."
aws-rds-proxy,concept,partial,https://aws.amazon.com/rds/proxy/pricing/ | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/data-api.html,"RDS Proxy 'priced per vCPU per hour' for provisioned instances, per ACU-hour for Aurora Serverless, 10-minute minimum after billable status change (exact $/vCPU-hour and the backlog's 'min 2 vCPUs' NOT visible on the fetched pricing page, so not stated in the card). Data API: HTTP endpoint, 'doesn't require a persistent connection', Secrets Manager credentials. Backlog row 152 (uid aws-d4-database-connections-proxies).",2026-09-21,check-B3f,"No text change. Verified: pools and reuses connections, 'queues or throttles application connections', same VPC, not publicly accessible (rds-proxy.html); 'priced per vCPU per hour', 10-minute minimum (rds/proxy/pricing); 'bypassing DNS caches', failover 'up to 66%' faster (rds/proxy/faqs); Data API 'doesn't require a persistent connection', Secrets Manager (data-api.html)."
aws-dms-and-sct,concept,partial,https://docs.aws.amazon.com/SchemaConversionTool/latest/userguide/CHAP_Welcome.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Oracle.Concepts.Licensing.html,"SCT converts schema/code Oracle, SQL Server, Db2, SAP ASE -> Aurora MySQL/PostgreSQL, MySQL, PostgreSQL, MariaDB; MySQL->Aurora MySQL can skip SCT. RDS for Oracle: License Included (AWS holds the licence, SE2 only) vs BYOL (EE and SE2, own licence required). 'Several times' price ratio from the backlog NOT verifiable on the fetched pages so the card says 'bundle the commercial licence' without a multiplier. Backlog row 153 (uid aws-d4-database-engines-migration-types).",2026-09-21,check-B3f,"USAGE: 'CDC latency has no SLA' was unverifiable; replaced with the documented CDCLatencySource / CDCLatencyTarget metrics and the uncommitted-transaction behaviour (https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Monitoring.html). 'free' SCT confirmed via DMS Schema Conversion 'free-to-use' (https://aws.amazon.com/dms/pricing/); LI = AWS holds licence, SE2 only; BYOL = EE and SE2 (Oracle.Concepts.Licensing.html)."
aws-rds-multi-az-vs-read-replica,concept+pattern,partial,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_MySQL.Replication.ReadReplicas.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.XRgn.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/Aurora.Integrating.AutoScaling.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/multi-az-db-clusters-concepts.html,"Replicas billed as standard DB instances; same-Region replication transfer free; cross-Region replication incurs data-transfer-out charges; up to 15 read replicas per MySQL source; RDS does not autoscale replicas; AWS recommends replica 'same or larger' class (so the backlog's 'smaller class' claim was NOT written); Aurora Auto Scaling 0-15 replicas on average CPU / connections, readers only; Multi-AZ DB cluster = writer + 2 readable readers in 3 AZs; Multi-AZ instance standby 'can't serve read traffic'. Merges rows 154 (aws-d4-database-replication-read-replicas-cost) + 158 (aws-d4-pat-read-replica-vs-scale-up) + backlog s3 usage rewrite.",2026-09-21,check-B3f,"No text change. Verified: asynchronous replication, replicas billed as standard instances, same-Region transfer free, RDS does not autoscale replicas, Multi-AZ standby 'can't serve read traffic' (USER_ReadRepl.html); Multi-AZ DB cluster = writer + two readable readers in three AZs (multi-az-db-clusters-concepts.html); Aurora 0-15 replica auto scaling on CPU/connections (ledger source)."
