uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-storage-gateway-modes,concept,partial,https://docs.aws.amazon.com/storagegateway/latest/vgw/StorageGatewayConcepts.html,"Cached volumes: S3 is primary data storage with frequently accessed data retained locally, iSCSI devices, 1 GiB-32 TiB per volume; stored volumes: primary data stored locally and asynchronously backed up to S3 as EBS snapshots, 1 GiB-16 TiB; cache sizing guidance: allocate at least 20 percent of existing file store size as cache and cache larger than upload buffer",2026-09-21,check-B3c,none (all claims verified)
aws-storage-gateway-modes,concept,partial,https://aws.amazon.com/storagegateway/faqs/,S3 File Gateway stores and retrieves S3 objects using NFS and SMB with low-latency access to recently used data via local cache; Tape Gateway presents a VTL (media changer and tape drives) and virtual tapes can be archived to S3 Glacier or S3 Glacier Deep Archive,2026-09-21,check-B3c,see first row of this uid
aws-storage-gateway-modes,concept,partial,https://aws.amazon.com/datasync/faqs/,"FAQ: use DataSync to migrate existing data to S3, then use the File Gateway configuration of Storage Gateway to retain access and for ongoing updates from on-premises file-based applications (DataSync = mover, Gateway = ongoing access); single DataSync task can fully utilise a 10 Gbps link",2026-09-21,check-B3c,see first row of this uid
aws-storage-gateway-modes,concept,partial,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-regions-availability-zones.html,"AWS Outposts extends AWS infrastructure, services, APIs and tools to customer premises (on-site AWS services)",2026-09-21,check-B3c,see first row of this uid
aws-fsx-windows-vs-lustre-vs-ontap,concept,partial,https://aws.amazon.com/fsx/when-to-choose-fsx/,"FSx for Windows File Server: SMB 2.0-3.1.1 with Active Directory integration; FSx for Lustre: POSIX for HPC/ML with automatic import/export of S3 data sets; FSx for NetApp ONTAP: SMB, NFS 3-4.2 and iSCSI with NetApp SnapMirror; FSx for OpenZFS: NFS (dropped from stem per backlog section 3)",2026-09-21,check-B3c,none (all claims verified)
aws-fsx-windows-vs-lustre-vs-ontap,concept,partial,https://docs.aws.amazon.com/efs/latest/ug/whatisefs.html,"EFS supports NFSv4.1/4.0, scales to petabytes, Regional file systems store data across multiple AZs, POSIX permissions and file locking, allows massively parallel access from compute instances; using EFS with Windows EC2 instances is not supported",2026-09-21,check-B3c,see first row of this uid
aws-fsx-windows-vs-lustre-vs-ontap,concept,partial,https://docs.aws.amazon.com/ebs/latest/userguide/ebs-volumes-multi.html,Multi-Attach only on io1/io2 Provisioned IOPS SSD volumes; up to 16 Nitro instances in the same Availability Zone; cannot be boot volumes,2026-09-21,check-B3c,see first row of this uid
aws-fsx-windows-vs-lustre-vs-ontap,concept,partial,https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.html,S3 is object storage; each object has a key that uniquely identifies it in the bucket; REST/HTTP interface; strong read-after-write consistency for PUT and DELETE; PUT overwrites existing objects (whole-object writes),2026-09-21,check-B3c,see first row of this uid
aws-ebs-vs-efs-vs-instance-store,concept,partial,https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.html,S3 object storage: flat key-based data map bucket+key(+version) to object; accessed via REST API over HTTP; updates to a single key are atomic and PUT replaces the object (no partial/in-place update); strong read-after-write consistency,2026-09-21,check-B3c,"none; added EFS FAQ source for ""thousands of instances"""
aws-ebs-vs-efs-vs-instance-store,concept,partial,https://docs.aws.amazon.com/AmazonS3/latest/userguide/upload-objects.html,Single PUT up to 5 GB; multipart upload for larger objects (up to 50 TB); object stored whole on upload,2026-09-21,check-B3c,see first row of this uid
