uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-s3-sse-kms-audit-revoke-mcq-36,mcq,new,https://docs.aws.amazon.com/AmazonS3/latest/userguide/UsingKMSEncryption.html,SSE-KMS: customer managed key lets you create/rotate/disable and define access controls; CloudTrail logs GenerateDataKey and Decrypt for SSE-KMS; default encryption context is the object ARN (bucket ARN when Bucket Keys on); S3 Bucket Keys reduce KMS request cost by up to 99 percent; objects under the aws/s3 AWS managed key cannot be shared cross-account; SSE-S3 is the default for new objects since 2023-01-05,2026-09-21,check-B1,"verified, no change"
aws-s3-sse-kms-audit-revoke-mcq-36,mcq,new,https://docs.aws.amazon.com/kms/latest/developerguide/concepts.html,"AWS managed keys (alias aws/<service>): you can view key policy and audit use in CloudTrail but cannot change properties, rotate, change key policy or schedule deletion; cannot be used cross-account; customer managed keys: full control of key policy, enable/disable, rotation, deletion, CloudTrail audit",2026-09-21,check-B1,"verified, no change"
aws-s3-sse-kms-audit-revoke-mcq-36,mcq,new,https://docs.aws.amazon.com/AmazonS3/latest/userguide/ServerSideEncryptionCustomerKeys.html,"SSE-C: S3 never stores the key, you must supply it on every download, key rotation is client-side, AWS managed services cannot decrypt SSE-C objects, HTTPS required; SSE-C disabled by default for new general purpose buckets starting April 2026 (PutBucketEncryption BlockedEncryptionTypes=NONE to enable)",2026-09-21,check-B1,"verified, no change"
aws-s3-sse-kms-audit-revoke-mcq-36,mcq,new,https://docs.aws.amazon.com/AmazonS3/latest/userguide/bucket-key.html,"With Bucket Keys: KMS CloudTrail events log bucket ARN instead of object ARN, fewer KMS events, subsequent requests using the bucket-level key do not call KMS or validate against the key policy; bucket-level key fetched at least once per requester; up to 99 percent KMS request cost reduction",2026-09-21,check-B1,"verified, no change"
aws-s3-sse-kms-audit-revoke-mcq-36,mcq,new,https://docs.aws.amazon.com/AmazonS3/latest/userguide/UsingServerSideEncryption.html,SSE-S3: S3 encrypts each object with a unique key and encrypts that key with a key S3 rotates regularly (AES-256 GCM); default for all new uploads since 2023-01-05; no additional charge; no KMS key policy or KMS CloudTrail event involved (supports the SSE-S3 WHY),2026-09-21,check-B1,row added by check-B1 (source for the SSE-S3 distractor WHY)
aws-45-minute-job-not-lambda-mcq-15,mcq,new,https://docs.aws.amazon.com/lambda/latest/dg/configuration-timeout.html,"Lambda timeout default 3 s, adjustable in 1 s increments up to 900 seconds (15 minutes); Lambda Managed Instances allow 5,400 seconds (90 minutes) for asynchronous and event source mapping invocations",2026-09-21,check-B1,"A: 'Lambda is the trap: its hard limit is 900 seconds' -> 'A standard Lambda function is the trap: ...' (Managed Instances allow 5,400 s for async/ESM, so the blanket claim was overstated)"
aws-45-minute-job-not-lambda-mcq-15,mcq,new,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/scheduled_tasks.html,"EventBridge Scheduler schedules ECS tasks via the RunTask target with rate, cron (any time zone) or one-time schedules; Fargate launch type selectable; retry up to 185 times, 24 h max retention, optional SQS DLQ",2026-09-21,check-B1,"A: 'Lambda is the trap: its hard limit is 900 seconds' -> 'A standard Lambda function is the trap: ...' (Managed Instances allow 5,400 s for async/ESM, so the blanket claim was overstated)"
aws-45-minute-job-not-lambda-mcq-15,mcq,new,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/AWS_Fargate.html,"Fargate runs containers without provisioning, configuring or scaling clusters of EC2 instances; new tasks always start on the latest patched platform version revision",2026-09-21,check-B1,"A: 'Lambda is the trap: its hard limit is 900 seconds' -> 'A standard Lambda function is the trap: ...' (Managed Instances allow 5,400 s for async/ESM, so the blanket claim was overstated)"
aws-45-minute-job-not-lambda-mcq-15,mcq,new,https://aws.amazon.com/fargate/pricing/,"Fargate billed per second with a 1-minute minimum (5-minute minimum for Windows), from image download start until the task terminates; us-east-1 Linux/x86 about $0.0404 per vCPU-hour and $0.00444 per GB-hour",2026-09-21,check-B1,"ledger fact corrected: $0.0044 -> $0.00444 per GB-hour (card text unaffected). A: 'Lambda is the trap: its hard limit is 900 seconds' -> 'A standard Lambda function is the trap: ...' (Managed Instances allow 5,400 s for async/ESM, so the blanket claim was overstated)"
aws-45-minute-job-not-lambda-mcq-15,mcq,new,https://docs.aws.amazon.com/batch/latest/userguide/fargate.html,"AWS Batch supports Fargate compute environments (ECS orchestrator only): no EC2 instances to provision, configure or scale",2026-09-21,check-B1,"A: 'Lambda is the trap: its hard limit is 900 seconds' -> 'A standard Lambda function is the trap: ...' (Managed Instances allow 5,400 s for async/ESM, so the blanket claim was overstated)"
aws-45-minute-job-not-lambda-mcq-15,mcq,new,https://docs.aws.amazon.com/lambda/latest/dg/lambda-managed-instances.html,"Lambda Managed Instances run on EC2 managed instances in your account, billable, EC2-based pricing plus a 15 percent management fee, scale to a configured minimum rather than to zero (supports 'runs on EC2 capacity you pay for' in the Lambda WHY)",2026-09-21,check-B1,row added by check-B1 (source for the Managed Instances clause)
aws-single-az-three-tier-to-ha-mcq-04,mcq,new,https://docs.aws.amazon.com/elasticloadbalancing/latest/application/application-load-balancers.html,"ALB: you must select at least two Availability Zone subnets, each from a different AZ; ELB creates a load balancer node in each enabled zone; targets in a zone that is not enabled receive no traffic; cross-zone load balancing on by default",2026-09-21,check-B1,WHY (second Region): removed unsourced 'roughly doubles the bill'; now 'paying for a second copy of every tier'
aws-single-az-three-tier-to-ha-mcq-04,mcq,new,https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-add-availability-zone.html,"When one AZ becomes unhealthy or unavailable, EC2 Auto Scaling launches new instances in an unaffected AZ and rebalances when it recovers; add an AZ by adding its subnet to the group and enabling the zone on the load balancer; ALB requires at least two enabled AZs",2026-09-21,check-B1,WHY (second Region): removed unsourced 'roughly doubles the bill'; now 'paying for a second copy of every tier'
aws-single-az-three-tier-to-ha-mcq-04,mcq,new,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZSingleStandby.html,Multi-AZ DB instance: synchronous standby replica in a different AZ; standby cannot serve read traffic; existing instance converted by modifying it (ModifyDBInstance) and choosing Multi-AZ,2026-09-21,check-B1,WHY (second Region): removed unsourced 'roughly doubles the bill'; now 'paying for a second copy of every tier'
aws-single-az-three-tier-to-ha-mcq-04,mcq,new,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZ.Failover.html,RDS automatically switches to the standby on infrastructure failure without administrative intervention; failover typically 60-120 seconds; the DNS record of the DB instance is changed automatically to point to the standby,2026-09-21,check-B1,WHY (second Region): removed unsourced 'roughly doubles the bill'; now 'paying for a second copy of every tier'
aws-single-az-three-tier-to-ha-mcq-04,mcq,new,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.html,"Read replicas replicate asynchronously and are for read scaling; you must create them manually; DR use is via promotion to a standalone instance (a manual step), not automatic failover",2026-09-21,check-B1,WHY (second Region): removed unsourced 'roughly doubles the bill'; now 'paying for a second copy of every tier'
