uid,kind,source_url,fact_checked,verified_at,checked_by,changes
ccdvf-messages-api-stateless,concept,https://platform.claude.com/docs/en/build-with-claude/working-with-messages ; https://platform.claude.com/docs/en/api/messages,"Messages API is stateless, full history resent each call, synthetic assistant turns allowed; no system role in input messages, system is top-level parameter; role system inside messages only on Opus 5/4.8/Fable models, after a user turn, never first",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-message-content-blocks,concept,https://platform.claude.com/docs/en/api/messages,"content is string or array of blocks, string = shorthand for one text block; consecutive same-role turns combined into one turn; limit 100,000 messages per request; images before text (vision guide)",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-usage-input-token-fields,concept,https://platform.claude.com/docs/en/build-with-claude/prompt-caching ; https://platform.claude.com/docs/en/api/messages ; https://platform.claude.com/docs/en/api/rate-limits,"input_tokens = tokens after last cache breakpoint; total = cache_read_input_tokens + cache_creation_input_tokens + input_tokens; cache_creation splits ephemeral_5m_input_tokens / ephemeral_1h_input_tokens; both cache fields 0 => not cached (likely below minimum length); all three count toward context window and rate limits (context-windows page); rate limits: cache_read_input_tokens do NOT count toward ITPM for most models (rate-limits page, Cache-aware ITPM), only input_tokens + cache_creation_input_tokens count",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)","A: corrected rate-limit claim: all three fields occupy the context window, but only input_tokens + cache_creation_input_tokens count toward ITPM on most models (cache reads do not; Haiku 3.5 is the exception). Source added: api/rate-limits (Cache-aware ITPM)."
ccdvf-streaming-when-required,concept,https://platform.claude.com/docs/en/build-with-claude/thinking ; https://platform.claude.com/docs/en/build-with-claude/streaming ; https://platform.claude.com/docs/en/api/errors,"SDKs require streaming when max_tokens > 21,333 (client-side validation, not API); 504 timeout_error suggests streaming for long requests; stream() + get_final_message()/finalMessage() returns same Message as create()",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-input-json-delta-accumulation,concept,https://platform.claude.com/docs/en/build-with-claude/streaming ; https://platform.claude.com/docs/en/agents-and-tools/tool-use/fine-grained-tool-streaming,"content_block_start for tool_use carries input {} placeholder; input_json_delta carries partial_json string fragments; concatenate per index, parse on content_block_stop; final input is object, deltas are strings; models emit one complete key/value at a time so delays are normal",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-tool-use-block-anatomy,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/handle-tool-calls,tool_use fields id/name/input; reply is user message with tool_result keyed by tool_use_id; content optional: string or blocks of type text/image/document/search_result; empty tool_result allowed; is_error true for failures; server tools need no tool_result,2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-image-source-types,concept,https://platform.claude.com/docs/en/build-with-claude/vision ; https://platform.claude.com/docs/en/build-with-claude/working-with-messages,"three image sources base64/url/file(file_id); formats image/jpeg, image/png, image/gif, image/webp; animations unsupported, first frame used; Claude receives no image metadata; Bedrock and Google Cloud base64 only",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-image-token-cost-patches,concept,https://platform.claude.com/docs/en/build-with-claude/vision,"28x28 pixel patches, cost = ceil(w/28) x ceil(h/28) visual tokens; standard tier max long edge 1568 px / 1568 visual tokens; high-resolution tier (Claude 4.7 and later) 2576 px / 4784 visual tokens, up to roughly 3x more tokens; downscale preserves aspect ratio",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-pdf-processing-model,concept,https://platform.claude.com/docs/en/build-with-claude/pdf-support,"each page converted to image plus extracted text; text tokens typically 1,500-3,000 per page; image token cost per vision rules; no additional PDF fee; place PDFs before text; use token counting to estimate; split large PDFs",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-thinking-blocks-and-signature,concept,https://platform.claude.com/docs/en/build-with-claude/thinking,"signature holds encrypted full thinking, verifies block was generated by Claude; display summarized vs omitted (empty thinking field); omitted default on Opus 5 etc; billed same either way; pass block back unchanged; signature opaque",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
