uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-iam-roles-vs-users,service+concept,partial,https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/root-user-best-practices.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction_attribute-based-access-control.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_evaluation-logic.html,"backlog rows aws-iam-service + aws-security-best-practices-concept merged (same existing_uid). Verified: IAM/STS/Identity Center offered at no additional charge; policy types list (identity-based, resource-based, permissions boundaries, SCPs, RCPs, ACLs, session policies) and that boundaries/SCPs/session policies do not grant; explicit deny overrides allow, default implicit deny; ABAC = tag-based (aws:PrincipalTag/aws:ResourceTag); best practices: federation via Identity Center for humans, roles for workloads, MFA, no root access keys, least privilege, CloudTrail. Self-referential USAGE replaced per backlog section 3.",2026-09-21,check-B3a,"verified against source_url, no change"
aws-organizations-scp,service+concept,partial,https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html | https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_org_support-all-features.html | https://docs.aws.amazon.com/organizations/latest/userguide/orgs_getting-started_concepts.html | https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/consolidated-billing.html | https://docs.aws.amazon.com/ram/latest/userguide/what-is.html,"backlog rows aws-organizations-service + aws-multi-account-access-management merged. Verified: SCP never grants, applies to member accounts incl. root user, not to management account or service-linked roles; SCPs available only with all features enabled (also policies/delegated admin need all features); OU nesting inherits policies (up to five levels); consolidated billing shares volume pricing tiers, Reserved Instance and Savings Plans discounts at no extra fee; delegated administrator for services; RAM shares subnets/transit gateways without copying, no charge.",2026-09-21,check-B3a,"verified against source_url, no change"
aws-iam-identity-center,concept,partial,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_providers.html | https://docs.aws.amazon.com/singlesignon/latest/userguide/what-is.html | https://docs.aws.amazon.com/cognito/latest/developerguide/identity-pools.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_temp_request.html,"backlog row aws-federated-access-concept. Verified: federation table (Identity Center = multi-account workforce, SAML 2.0/AD/Identity Center directory; IAM federation = single standalone account, SAML 2.0 or OIDC; Cognito identity pools = app users, AssumeRoleWithWebIdentity); Identity Center organization instance lives in management account, permission sets provision across accounts; AssumeRoleWithSAML/AssumeRoleWithWebIdentity are unsigned calls returning temporary credentials; identity pools issue temporary credentials for authenticated and guest users. Difficulty raised d1->d2 per row.",2026-09-21,check-B3a,A: Cognito clause reworded - identity pools issue role credentials via GetCredentialsForIdentity in the enhanced flow and call AssumeRoleWithWebIdentity directly only in the classic flow (identity-pools.html); was stated as unconditional AssumeRoleWithWebIdentity.
aws-iam-policy-evaluation-explicit-deny,pattern,partial,https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_evaluation-logic.html,"backlog row aws-iam-policy-types-pattern. Verified: six policy types and their roles; resource-based policy in same account needs no identity policy, cross-account needs both; permissions boundary = max for identity-based policy, does not grant; SCP = max for member-account principals; session policy limits a session; ACLs = cross-account only, non-JSON; same-account identity OR resource allow suffices; explicit deny in any policy overrides allow.",2026-09-21,check-B3a,"verified against source_url, no change"
aws-sts-assume-role-cross-account,pattern,partial,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_temp_request.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_use_revoke-sessions.html,"backlog row aws-sts-temporary-credentials. Verified: AssumeRole, AssumeRoleWithWebIdentity (JWT, unsigned), AssumeRoleWithSAML (unsigned, default 1 hour), GetFederationToken (default 12 h, 900 s to 129,600 s = 15 min to 36 h), GetSessionToken (IAM user, default 12 h, 15 min to 36 h, root capped at 1 h); AssumeRole DurationSeconds up to 43,200 s (12 h) subject to role max session duration; role chaining capped at one hour regardless of role setting; revoke via Deny with DateLessThan aws:TokenIssueTime (only affects temporary-credential requests). External ID/confused deputy retained from live card.",2026-09-21,check-B3a,"verified against source_url, no change"
aws-guardduty-inspector-macie-detective,service x4,partial,https://docs.aws.amazon.com/guardduty/latest/ug/what-is-guardduty.html | https://docs.aws.amazon.com/inspector/latest/user/what-is-inspector.html | https://docs.aws.amazon.com/macie/latest/user/what-is-macie.html | https://docs.aws.amazon.com/detective/latest/userguide/what-is-detective.html,"backlog rows aws-detective-service + aws-guardduty-service + aws-inspector-service + aws-macie-service merged (same existing_uid). Verified: GuardDuty foundational sources = CloudTrail management events, VPC flow logs, DNS logs, no extra enablement; protection plans S3, EKS, Runtime Monitoring, Malware (EC2/S3/Backup), RDS, Lambda, AI; multi-account via Organizations; EventBridge event on finding changes. Inspector scans EC2, ECR images, Lambda; continuous rescans on package/patch/new CVE; network reachability; delegated administrator; findings to EventBridge and Security Hub. (SSM Agent dependency for EC2 agent-based scanning is stated in Inspector scanning docs; agentless option also exists.) Macie: S3 general purpose bucket inventory, public/encryption/shared evaluation, automated discovery + discovery jobs, managed and custom data identifiers, EventBridge/Security Hub; S3 only. Detective: extracts events from CloudTrail and VPC flow logs, ingests GuardDuty findings, behavior graph, up to a year of data. Difficulty d2->d1 per rows.",2026-09-21,check-B3a,"verified against source_url, no change"
aws-direct-connect-encryption,service,partial,https://docs.aws.amazon.com/directconnect/latest/UserGuide/Welcome.html | https://docs.aws.amazon.com/directconnect/latest/UserGuide/dedicated_connection.html | https://docs.aws.amazon.com/directconnect/latest/UserGuide/hosted_connection.html | https://docs.aws.amazon.com/directconnect/latest/UserGuide/MACsec.html | https://aws.amazon.com/directconnect/resiliency-recommendation/,"backlog row aws-direct-connect-service. Verified: dedicated port speeds 1, 10, 100, 400 Gbps; hosted 50 Mbps to 25 Gbps (50/100/200/300/400/500 Mbps, 1/2/5/10/25 Gbps) provisioned by a partner; up to 72 business hours for AWS to provision the port, then LOA-CFA and cross-connect (weeks overall); private VIF -> one VPC or DX gateway (multi-Region/account), transit VIF -> transit gateways, public VIF -> public AWS services; MACsec on 10/100/400 Gbps dedicated connections at selected points of presence, not on hosted connections, layer-2 point-to-point only; resiliency models need separate connections/locations. Difficulty d3->d2 per row; USAGE added per backlog section 3.",2026-09-21,check-B3a,"verified against source_url, no change"
aws-waf-vs-shield,service x2,partial,https://docs.aws.amazon.com/waf/latest/developerguide/how-aws-waf-works.html | https://docs.aws.amazon.com/waf/latest/developerguide/web-acl-associating-aws-resource.html | https://aws.amazon.com/waf/pricing/ | https://aws.amazon.com/shield/pricing/,"backlog rows aws-shield-service + aws-waf-service merged. Verified: web ACL / rules / rule groups / managed rule groups / rate-based; association targets = API Gateway REST, ALB, AppSync, Cognito user pool, App Runner, Bedrock AgentCore Gateway, Verified Access, Amplify (regional) and CloudFront (global, us-east-1); NLB and EC2 not listed; WAF pricing $5.00 per web ACL/month, $1.00 per rule/month, $0.60 per million requests; Shield Standard no additional charge (L3/L4); Shield Advanced $3,000/month, 1-year commitment, DDoS Response Team, DDoS cost protection, WAF requests on protected resources included. Difficulty d2->d1 per rows.",2026-09-21,check-B3a,"verified against source_url, no change"
aws-secrets-manager-vs-parameter-store,concept,partial,https://aws.amazon.com/secrets-manager/pricing/ | https://aws.amazon.com/systems-manager/pricing/ | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/configuring-instance-metadata-service.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html,"backlog row aws-app-credentials-security-concept. Verified: Secrets Manager $0.40 per secret per month, $0.05 per 10,000 API calls; Parameter Store standard parameters no additional charge, advanced $0.05 per parameter per month; IMDSv2 session token via PUT, hop limit 1 by default, token TTL up to 6 hours; best practice: compute services receive temporary role credentials, no long-lived keys distributed to workloads. Stem trimmed per backlog section 3 (was 261 chars).",2026-09-21,check-B3a,"verified against source_url, no change"
aws-alb-authentication-cognito-oidc,concept,partial,https://docs.aws.amazon.com/elasticloadbalancing/latest/application/listener-authenticate-users.html,"backlog row aws-secure-application-access-concept. Verified: authenticate-cognito / authenticate-oidc supported only on HTTPS listeners; x-amzn-oidc-data is the only signed header, verify signature and signer ARN; load balancer must reach IdP token/user-info endpoints, internal ALB needs a NAT gateway; restrict targets to the ALB security group. Session Manager / presigned URL / OAC / VPC endpoint angles are cross-references to existing live cards (aws-ssm-session-manager-vs-bastion, aws-s3-presigned-urls, aws-s3-cloudfront-oac, aws-vpc-endpoints-gateway-vs-interface).",2026-09-21,check-B3a,"verified against source_url, no change"
aws-vpc-security-group-vs-nacl,pattern,partial,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-network-acls.html | https://docs.aws.amazon.com/vpc/latest/userguide/nacl-rules.html | https://docs.aws.amazon.com/vpc/latest/userguide/default-network-acl.html | https://docs.aws.amazon.com/vpc/latest/userguide/nacl-ephemeral-ports.html,"backlog row aws-nacl-rules-pattern. Verified: NACL stateless, subnet-level, rules 1-32766 evaluated lowest first, first match applies, asterisk rule denies; default NACL allows all inbound/outbound (rule 100), custom NACL denies all until rules added; ephemeral ports 1024-65535 recommended (Linux 32768-60999, Windows 49152-65535, NAT gateway/ELB 1024-65535), return traffic needs rules in both directions; security groups stateful. Difficulty d1->d2 per row; scenario stem and USAGE added per backlog section 3.",2026-09-21,check-B3a,"verified against source_url, no change"
aws-vpc-private-subnet-nat,pattern,partial,https://docs.aws.amazon.com/vpc/latest/userguide/configure-subnets.html | https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Route_Tables.html,"backlog row aws-public-private-subnet-segmentation (absorbs aws-subnet-tiers-pattern). Verified: subnet types defined by routing: public = direct route to internet gateway, private = no direct IGW route, NAT device for outbound, isolated = no routes outside the VPC; subnet lives in one AZ; public IP auto-assign is a subnet attribute. VPC endpoint sentence removed and self-referential USAGE replaced per backlog section 3. Difficulty d2->d1 per row.",2026-09-21,check-B3a,"verified against source_url, no change"
