uid,kind,source_url,fact_checked,verified_at,checked_by,changes
ccdvf-workflow-vs-agent-definition,concept,https://www.anthropic.com/engineering/building-effective-agents,"Workflows = 'LLMs and tools are orchestrated through predefined code paths'; agents = 'LLMs dynamically direct their own processes and tool usage, maintaining control over how they accomplish tasks'; workflows offer predictability and consistency for well-defined tasks, agents for flexibility and model-driven decision-making at scale",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-agent-architecture-principles,concept,https://www.anthropic.com/engineering/building-effective-agents,"Three core principles verbatim: maintain simplicity; prioritize transparency by explicitly showing planning steps; carefully craft the agent-computer interface (ACI) through thorough tool documentation and testing; augmented LLM = LLM enhanced with retrieval, tools, and memory",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-orchestrator-workers-hierarchy,concept,https://www.anthropic.com/engineering/building-effective-agents,"Orchestrator-workers: 'a central LLM dynamically breaks down tasks, delegates them to worker LLMs, and synthesizes their results'; for complex tasks where you can't predict the subtasks; examples: coding products making complex changes to multiple files, search tasks gathering from multiple sources",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-subagent-role-task-execution,concept,https://code.claude.com/docs/en/agent-sdk/subagents,"Four benefits: context isolation (only final message returns to parent), parallelization (finish in the time of the slowest, not the sum), specialized instructions, tool restrictions (doc-reviewer with only Read and Grep)",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-agent-sdk-what-it-is,concept,https://code.claude.com/docs/en/agent-sdk/overview ; https://code.claude.com/docs/en/agent-sdk/agent-loop,"Agent SDK = Claude Code as a library; runs the agent loop; built-in tools table (Read/Edit/Write, Glob/Grep, Bash, WebSearch/WebFetch, ToolSearch, Agent/Skill/AskUserQuestion/TaskCreate/TaskUpdate); Python and TypeScript only; other languages run the CLI with -p and --output-format json; Client SDK = direct API, you implement the tool loop; package names claude_agent_sdk / @anthropic-ai/claude-agent-sdk",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-agent-harness-components,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/how-tool-use-works ; https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-runner,"Canonical loop keyed on stop_reason == 'tool_use'; loop exits on end_turn/max_tokens/stop_sequence/refusal; Tool Runner handles the agentic loop, error wrapping (is_error true), conversation state; manual loop for human-in-the-loop approval, custom logging, conditional execution",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-managed-agents-hosting-models,concept,https://platform.claude.com/docs/en/managed-agents/overview ; https://platform.claude.com/docs/en/managed-agents/self-hosted-sandboxes,"Environment = cloud sandbox or self-hosted sandbox; self-hosted keeps orchestration on Anthropic's side and moves tool execution into your infrastructure so code, filesystem and network egress never leave your environment; config {type: 'self_hosted'}; environment worker claims work items, runs tool calls, posts results; tool inputs/outputs still flow to the control plane; harness supports prompt caching and compaction",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-hooks-deterministic-actions,concept,https://code.claude.com/docs/en/hooks-guide ; https://code.claude.com/docs/en/hooks,"'deterministic control: certain actions always happen rather than relying on the LLM to choose to run them'; hook handler types command/http/mcp_tool/prompt/agent; settings.json shape hooks -> EventName -> [{matcher, hooks:[{type:'command', command}]}]; exit code 2 blocks PreToolUse tool call and stderr goes to Claude; events PreToolUse/PostToolUse/UserPromptSubmit/Stop",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-five-workflow-patterns,concept,https://www.anthropic.com/engineering/building-effective-agents,"Five patterns with when-to-use: prompt chaining (fixed subtasks; outline then draft), routing (distinct categories; smaller vs capable model), parallelization (sectioning + voting), orchestrator-workers (can't predict subtasks), evaluator-optimizer (clear evaluation criteria + iterative refinement provides measurable value)",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-tool-use-loop-anatomy,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/how-tool-use-works ; https://platform.claude.com/docs/en/agents-and-tools/tool-use/handle-tool-calls,"tool_use block fields id/name/input; stop_reason 'tool_use'; tool_result with tool_use_id and optional is_error in a user message, tool_result blocks FIRST; repeat while stop_reason is 'tool_use'; exit reasons end_turn, max_tokens, stop_sequence, refusal",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
