uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-managed-ai-services-map,concept,new,https://docs.aws.amazon.com/comprehend/latest/dg/what-is.html | https://docs.aws.amazon.com/polly/latest/dg/what-is.html | https://docs.aws.amazon.com/transcribe/latest/dg/what-is.html | https://docs.aws.amazon.com/translate/latest/dg/what-is.html | https://docs.aws.amazon.com/rekognition/latest/dg/what-is.html | https://docs.aws.amazon.com/textract/latest/dg/what-is.html | https://docs.aws.amazon.com/lexv2/latest/dg/what-is.html | https://docs.aws.amazon.com/kendra/latest/dg/what-is-kendra.html | https://docs.aws.amazon.com/sagemaker/latest/dg/whatis.html,"Comprehend insights = entities, key phrases, PII, language, sentiment, targeted sentiment, syntax; custom classification/entity recognition via AutoML; Polly converts text into lifelike speech; Transcribe = automatic speech recognition, streaming or batch from S3; Translate = text translation, calls Comprehend for auto language detection; Rekognition = image and video analysis, requires no ML expertise, unsafe content detection, Custom Labels; Textract = typed and handwritten text, forms, tables, no ML expertise needed; Lex V2 = conversational interfaces voice and text, no deep learning expertise necessary; Kendra banner: no longer open to new customers, explore Bedrock Knowledge Bases; SageMaker AI = fully managed ML service to build, train, deploy",2026-09-21,check-B5.2,"Q: ""caption uploaded videos"" -> ""subtitle uploaded videos"" (unambiguously Transcribe, not Rekognition labels); A: ""pay per request"" -> ""pay as you go"" (Comprehend/Transcribe/Polly bill per char/second, not per request); Kendra line reworded to match the docs banner (""explore Bedrock Knowledge Bases"", not ""replaces""); opening sentence tightened to stay under 120 words. Verified 2026-09-21: Kendra banner ""no longer open to new customers""; Comprehend insights list and custom classification; no minimum fees."
aws-managed-grafana-service,service,new,https://docs.aws.amazon.com/grafana/latest/userguide/what-is-Amazon-Managed-Service-Grafana.html,"Logically isolated Grafana servers called workspaces; AWS manages provisioning, setup, scaling, maintenance; integrated AWS data sources listed: CloudWatch, OpenSearch Service, X-Ray, IoT SiteWise, Timestream, Managed Service for Prometheus; also open-source, third-party and other cloud data sources; auth via SAML 2.0 IdPs and IAM Identity Center; priced per active user in a workspace",2026-09-21,check-B5.2,"verified against source_url 2026-09-21, no change"
aws-managed-prometheus-service,service,new,https://docs.aws.amazon.com/prometheus/latest/userguide/what-is-Amazon-Managed-Service-Prometheus.html | https://docs.aws.amazon.com/prometheus/latest/userguide/AMP-ingest-methods.html | https://docs.aws.amazon.com/prometheus/latest/userguide/AMP-alert-manager.html,"Serverless Prometheus-compatible monitoring for container metrics; same data model and PromQL; automatically scales ingestion, storage, querying; data replicated across three AZs in the Region; retention 150 days default, adjustable up to 1095 days; works with EKS and self-managed Kubernetes; ingestion = AWS managed agentless scraper for EKS, or customer managed collector (Prometheus in agent mode or AWS Distro for OpenTelemetry) via Prometheus remote write",2026-09-21,check-B5.2,"A: added that the alert manager runs in the workspace and SNS is the only receiver (AMP-alert-manager.html). Verified: 150 days default / 1095 max, three AZs, remote write + AWS managed agentless scraper for EKS, ADOT."
aws-management-console-service,service,new,https://docs.aws.amazon.com/signin/latest/userguide/what-is-sign-in.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/root-user-tasks.html,"Root user credentials = email + password used to create the account, complete access, MFA strongly recommended; sign-in paths: access portal (Identity Center), federated identity, root user, IAM user; CloudTrail automatically enabled and logs all IAM user, root user and federated console sign-in events as ConsoleLogin; root-only tasks include close account (standalone), change root email/password, activate IAM access to Billing console, restore IAM user permissions, S3 MFA Delete, register as RI Marketplace seller; AWS recommends an administrative user in IAM Identity Center for daily tasks and not using root for everyday work",2026-09-21,check-B5.2,"A: ""closing the account"" -> ""closing a standalone account"" (root-user-tasks: Organizations member accounts are closed from the management account); ""records every console action as the API call it makes"" softened to ""console actions reach it as the same API calls the CLI makes"" (CloudTrail default is management events; data events such as S3 GetObject need explicit enabling). Verified: CloudTrail auto-enabled, ConsoleLogin events for IAM/root/federated, Identity Center admin recommended for daily tasks."
aws-service-catalog-service,service,new,https://docs.aws.amazon.com/servicecatalog/latest/adminguide/introduction.html | https://docs.aws.amazon.com/servicecatalog/latest/adminguide/constraints.html | https://docs.aws.amazon.com/servicecatalog/latest/adminguide/constraints-launch.html,"Catalogs of approved IT services; admins assemble portfolios of products, add constraints and resource tags, grant access via IAM; product update propagates to every portfolio referencing it; constraint types: launch, notification, tag update, stack set, template; launch constraint = IAM role Service Catalog assumes when end user launches, updates or terminates a product; without it end users must have permissions for CloudFormation, the services used and Service Catalog; launch constraints apply per product-portfolio association; CloudFormation and Terraform (Open Source / Cloud) product types",2026-09-21,check-B5.2,"verified against source_url 2026-09-21, no change"
aws-auto-scaling-service-card,service,new,https://docs.aws.amazon.com/autoscaling/plans/userguide/what-is-a-scaling-plan.html,"Scaling plan groups resources by tag or CloudFormation stack; supported resources: Aurora read replicas, EC2 Auto Scaling groups, ECS desired task count, DynamoDB table/GSI provisioned capacity, Spot Fleet target capacity (five types); dynamic scaling uses EC2 Auto Scaling and Application Auto Scaling; predictive scaling for Auto Scaling groups only; Important note: if used only for predictive scaling, set predictive scaling policies directly on the resources instead (more features); no additional charge beyond CloudWatch; predictive scaling in a plan incurs GetMetricData costs, whereas an EC2 Auto Scaling predictive policy does not",2026-09-21,check-B5.2,"verified against source_url 2026-09-21, no change"
aws-amplify-service-card,service,new,https://docs.aws.amazon.com/amplify/latest/userguide/welcome.html | https://aws.amazon.com/amplify/faqs/,"Amplify Hosting = Git-based workflow, continuous deployment to the AWS global CDN; repos: GitHub, BitBucket, GitLab, CodeCommit; features: feature branches, custom domains, pull request previews, end-to-end testing, password protected branches, redirects, atomic deployments; frameworks: SSR (Next.js, Nuxt, Astro, SvelteKit), SPA (React, Angular, Vue, Ionic, Ember), static generators; Gen 2 = TypeScript code-first backend; FAQ: backend features provision Cognito (auth), AppSync (data/API), S3 (storage), Lambda (functions), Pinpoint (analytics)",2026-09-21,check-B5.2,"verified against source_url 2026-09-21, no change"
aws-data-exchange-service-card,service,new,https://docs.aws.amazon.com/data-exchange/latest/userguide/what-is.html,"Share and manage data entitlements from other organizations; data grant = unit of exchange; five data set types: Files, API, Amazon Redshift, Amazon S3, AWS Lake Formation (Preview); subscribers discover products in the AWS Marketplace catalog; recipients can export files to S3 programmatically and directly access providers' S3 buckets; Redshift data sets give read-only query access without ETL; providers need no delivery/entitlement infrastructure",2026-09-21,check-B5.2,"A: Lake Formation data set type marked ""in preview"" as the docs state. Verified: five data set types, Marketplace catalog discovery, export to S3, Redshift read-only query without ETL, no entitlement infrastructure for senders."
aws-device-farm-service-card,service,new,https://docs.aws.amazon.com/devicefarm/latest/developerguide/welcome.html | https://docs.aws.amazon.com/devicefarm/latest/testgrid/what-is-testgrid.html,"Tests Android, iOS and web apps on real, physical phones and tablets hosted by AWS; two modes: remote access (browser or Appium from local client) and automated tests in managed environment; remote access session limit 150 minutes; only available in us-west-2 (Oregon); automated runs in parallel across devices with logs, screenshots, artifacts; test hosts and devices can connect to your VPC; native and hybrid Android/iOS; desktop browser testing = Selenium tests on multiple AWS-hosted desktop browsers in parallel, video recordings and Selenium logs, per-minute billing",2026-09-21,check-B5.2,"verified against source_url 2026-09-21, no change"
aws-elastic-transcoder-service-card,service,new,https://aws.amazon.com/elastictranscoder/faqs/ | https://aws.amazon.com/blogs/media/migrating-workflows-from-amazon-elastic-transcoder-to-aws-elemental-mediaconvert/,"FAQ: on November 13, 2025 AWS will discontinue support for Amazon Elastic Transcoder; components: pipelines (tied to input/output S3 buckets), presets (codec, resolution), jobs, SNS notifications; blog: discontinued November 13 2025, MediaConvert is the successor; MediaConvert queues are not tied to a specific S3 bucket; job templates and parameter overrides; job status via CloudWatch events / EventBridge",2026-09-21,check-B5.2,"A: ""job templates allow parameter overrides"" -> ""presets can be overridden per job and job templates save whole job configurations"" (migration blog: MediaConvert presets overridable via API, job templates reuse full configs). Verified: discontinued November 13, 2025; pipelines tied to S3 buckets, queues not; SNS vs CloudWatch Events/EventBridge."
aws-kinesis-video-streams-service-card,service,new,https://docs.aws.amazon.com/kinesisvideostreams/latest/dg/what-is-kinesis-video.html | https://aws.amazon.com/kinesis/video-streams/faqs/ | https://docs.aws.amazon.com/kinesisvideostreams/latest/dg/API_CreateStream.html,"Streams live video from devices (smartphones, security cameras, webcams, cars, drones) plus non-video time-serialized data (audio, thermal, depth, RADAR); sources via GStreamer kvssink plugin or RTSP; durable storage for a specified retention period, encrypted at rest, time-indexed by producer and ingestion timestamps; FAQ: standards-compliant WebRTC for two-way audio/video, HLS and DASH playback (live latency 3 to 5 seconds), integrates with Rekognition Video and SageMaker; CreateStream DataRetentionInHours default 0 = no persistence, minimum 1 hour when set, buffer limit 5 minutes / 200 MB",2026-09-21,check-B5.2,"verified against source_url 2026-09-21, no change"
aws-lex-service-card,service,new,https://docs.aws.amazon.com/lexv2/latest/dg/what-is.html | https://aws.amazon.com/lex/,"Conversational interfaces using voice and text; NLU + ASR; no deep learning expertise necessary; integrates with Lambda (fulfilment, enterprise connectors), Amazon Connect, Comprehend, Kendra; publishes to mobile, web, Facebook Messenger, Slack, Microsoft Teams, WhatsApp; charged only for text or speech requests; intents/slots/utterances and dialog management; Multi-Region Replication",2026-09-21,check-B5.2,"A: Alexa claim reworded to the product page wording ""powered by the same technology as Alexa"" and https://aws.amazon.com/lex/ added as source; ""hand off to Kendra or Comprehend"" -> ""integrate with Comprehend and Kendra"" (what-is.html lists them as integrations). Verified: ASR+NLU, no deep learning expertise, Lambda/Connect, Slack/Teams/WhatsApp/Messenger, charged per text or speech request."
aws-msk-service-card,service,new,https://docs.aws.amazon.com/msk/latest/developerguide/what-is-msk.html | https://docs.aws.amazon.com/msk/latest/developerguide/serverless.html | https://docs.aws.amazon.com/msk/latest/developerguide/msk-connect.html,"Fully managed Apache Kafka; provides control-plane operations, runs open-source Kafka so existing apps, tooling, plugins work without code changes; broker nodes per AZ (minimum one per AZ), ZooKeeper nodes or KRaft controllers; detects and replaces failed brokers reusing storage; MSK Serverless = no capacity management, throughput-based pricing, requires IAM access control (Kafka ACLs not supported); MSK Connect = managed Kafka Connect connectors (S3, OpenSearch, Debezium), auto scaling, works with MSK or self-hosted Kafka reachable from a VPC",2026-09-21,check-B5.2,"verified against source_url 2026-09-21, no change"
aws-rekognition-service-card,service,new,https://docs.aws.amazon.com/rekognition/latest/dg/what-is.html,"Image and video analysis, requires no ML expertise; image capabilities: object/scene/concept detection, text detection (printed and handwritten), unsafe content with granular labels, celebrity recognition, facial analysis and comparison, Custom Labels, image properties; video: people pathing, segmentation, face liveness; use cases: content moderation with hierarchical labels and confidence scores, PPE detection, face-based identity verification, face collections; works with images/videos in S3 and streaming video (streaming video events)",2026-09-21,check-B5.2,"verified against source_url 2026-09-21, no change"
aws-sagemaker-service-card,service,new,https://docs.aws.amazon.com/sagemaker/latest/dg/whatis.html | https://docs.aws.amazon.com/sagemaker/latest/dg/how-it-works-mlconcepts.html,"Fully managed ML service to build, train, deploy models; renamed Amazon SageMaker AI on December 03, 2024; next-generation Amazon SageMaker = unified platform for data, analytics and AI (Lakehouse, Unified Studio, Bedrock); workflow: generate example data (label, clean, prepare), train (built-in algorithms or bring-your-own, JumpStart), evaluate (Model Monitor), deploy via hosting services decoupled from application code; managed algorithms for large distributed data",2026-09-21,check-B5.2,"verified against source_url 2026-09-21, no change"
aws-serverless-app-repository-service-card,service,new,https://docs.aws.amazon.com/serverlessrepo/latest/devguide/what-is-serverlessrepo.html | https://docs.aws.amazon.com/serverlessrepo/latest/devguide/serverlessrepo-publishing-applications.html | https://docs.aws.amazon.com/serverlessrepo/latest/devguide/security_iam_resource-based-policy-examples.html,"Find, deploy and publish serverless applications; publish via console, SAM CLI or SDK with code plus an AWS SAM template; integrated with the Lambda console, browse by category keyword, search by name/publisher/event source; initially private, then privately shared (specific AWS accounts) or publicly shared; consumers may need to acknowledge capabilities; public apps available in all Regions (artifacts copied to S3 in destination Region), private and privately shared only in the Region created",2026-09-21,check-B5.2,"No card text change; added application-policy examples page as source for ""shared with an organization"" (PrincipalOrgIDs). Verified: console/SAM CLI/SDK publish, private -> privately shared -> public, capabilities acknowledgement, public apps in all Regions with artifacts copied, private only in creation Region."
aws-textract-service-card,service,new,https://docs.aws.amazon.com/textract/latest/dg/what-is.html | https://docs.aws.amazon.com/textract/latest/dg/limits-document.html,"Detects typed and handwritten text; Document Analysis API extracts text, forms, tables; Queries in AnalyzeDocument; AnalyzeExpense for invoices/receipts; AnalyzeID for US driver's licenses and passports; no ML expertise needed; synchronous = single-page, asynchronous = multipage; formats JPEG, PNG, PDF, TIFF; sync limit 10 MB and 1 page for PDF/TIFF; async PDF/TIFF limit 500 MB and 3,000 pages; queries 15 per page sync, 30 async",2026-09-21,check-B5.2,"verified against source_url 2026-09-21, no change"
aws-transcribe-service-card,service,new,https://docs.aws.amazon.com/transcribe/latest/dg/what-is.html,"Automatic speech recognition converting audio to text; language customization, content filtering, multi-channel audio analysis, speaker partitioning; streaming (real time) or batch from S3; HIPAA eligible with automatic PHI identification at no additional charge; pay-as-you-go per second of audio, 1-second increments, no minimum; extra charges for PII redaction and custom language models; Transcribe Medical and Call Analytics have separate Region support",2026-09-21,check-B5.2,"verified against source_url 2026-09-21, no change"
