uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-redshift-vs-athena-vs-emr,mcq (row aws-data-processing-sql-only-mcq-38) + concept (row aws-analytics-visualization-services),partial,https://aws.amazon.com/athena/pricing/,Athena $5 per TB scanned; pricing-page example: columnar+compression cuts a $15 scan to $1.25,2026-09-21,check-B3e,
aws-redshift-vs-athena-vs-emr,mcq+concept,partial,https://docs.aws.amazon.com/redshift/latest/dg/c-using-spectrum.html,Redshift Spectrum queries S3 files without loading them into Redshift tables,2026-09-21,check-B3e,
aws-redshift-vs-athena-vs-emr,mcq+concept,partial,https://docs.aws.amazon.com/emr/latest/ManagementGuide/emr-what-is-emr.html,EMR = managed cluster platform for Hadoop/Spark big-data frameworks,2026-09-21,check-B3e,
aws-redshift-vs-athena-vs-emr,mcq+concept,partial,https://docs.aws.amazon.com/lake-formation/latest/dg/what-is-lake-formation.html,"Lake Formation permissions enforced at column, row and cell level across Athena, Amazon Quick, Redshift Spectrum, EMR and Glue",2026-09-21,check-B3e,
aws-redshift-vs-athena-vs-emr,mcq+concept,partial,https://docs.aws.amazon.com/quicksight/latest/user/welcome.html,Product now Amazon Quick; BI feature is Amazon Quick Sight (evolved from QuickSight),2026-09-21,check-B3e,
aws-redshift-vs-athena-vs-emr,mcq+concept,partial,https://docs.aws.amazon.com/quicksight/latest/user/spice.html,SPICE = Super-fast Parallel In-memory Calculation Engine used by Quick Sight,2026-09-21,check-B3e,
aws-kinesis-data-streams-vs-firehose,mcq (row aws-streaming-replay-multi-consumer-mcq-32) + concept (aws-streaming-services-use-cases) + service (aws-data-firehose-service-card); facts of row aws-firehose-buffer-config-mcq-40 folded into A:/USAGE,partial,https://docs.aws.amazon.com/streams/latest/dev/service-sizes-and-limits.html,"retention min 24 h, max 8760 h (365 days); per-shard 1 MB/s or 1,000 rec/s write, 2 MB/s read; 20 EFO consumers (50 with On-demand Advantage)",2026-09-21,check-B3e,"WHY of the Firehose-alone distractor: ""minutes late"" -> ""at least one buffer interval late"" (buffer is 0-900 s, 60 s in the scenario)"
aws-kinesis-data-streams-vs-firehose,mcq+concept+service,partial,https://docs.aws.amazon.com/streams/latest/dev/enhanced-consumers.html,enhanced fan-out: dedicated up to 2 MB/s per shard per consumer; ~70 ms propagation vs ~200 ms shared,2026-09-21,check-B3e,"WHY of the Firehose-alone distractor: ""minutes late"" -> ""at least one buffer interval late"" (buffer is 0-900 s, 60 s in the scenario)"
aws-kinesis-data-streams-vs-firehose,mcq+concept+service,partial,https://docs.aws.amazon.com/firehose/latest/APIReference/API_BufferingHints.html,BufferingHints SizeInMBs 1-128 MiB (default 5); IntervalInSeconds 0-900 (default 300),2026-09-21,check-B3e,"WHY of the Firehose-alone distractor: ""minutes late"" -> ""at least one buffer interval late"" (buffer is 0-900 s, 60 s in the scenario)"
aws-kinesis-data-streams-vs-firehose,mcq+concept+service,partial,https://docs.aws.amazon.com/firehose/latest/dev/record-format-conversion.html,Firehose converts JSON to Parquet/ORC using a schema from the AWS Glue Data Catalog; non-JSON input needs a Lambda transform first,2026-09-21,check-B3e,"WHY of the Firehose-alone distractor: ""minutes late"" -> ""at least one buffer interval late"" (buffer is 0-900 s, 60 s in the scenario)"
