uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-alb-vs-nlb,"concept+pattern+service (rows 29,33,49 merged; §3 usage fix)",partial,https://docs.aws.amazon.com/elasticloadbalancing/latest/application/listener-rules.html | https://docs.aws.amazon.com/elasticloadbalancing/latest/application/rule-action-types.html | https://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-target-groups.html | https://docs.aws.amazon.com/elasticloadbalancing/latest/network/introduction.html | https://docs.aws.amazon.com/elasticloadbalancing/latest/gateway/introduction.html,"ALB rule conditions host/path/HTTP header/method/query string/source IP; forward action with weighted target groups; target types instance/ip/lambda; ip targets reach peered VPCs and on-prem via DX/VPN; health checks per target group; ASG attachment registers targets; NLB layer 4, TCP/UDP/TLS, millions of requests per second, static IP + optional one EIP per subnet; GWLB layer 3, GENEVE port 6081, firewall/IDS appliances",2026-09-21,check-B3b,"A: ""third type"" -> ""third current-generation type"" (Classic LB still exists); ledger: dead listener-update-rules.html URL (302 to guide root) replaced by listener-rules.html + rule-action-types.html; all rule conditions, weighted forward 0-999, target types, DX/VPN ip targets, NLB one EIP per subnet, GWLB GENEVE 6081 re-verified"
aws-lambda-limits-timeout-payload,"concept+service (rows 30,52 merged)",partial,https://docs.aws.amazon.com/lambda/latest/dg/gettingstarted-limits.html | https://docs.aws.amazon.com/lambda/latest/dg/lambda-invocation.html | https://docs.aws.amazon.com/AmazonECS/latest/developerguide/fargate-tasks-services.html | https://docs.aws.amazon.com/lambda/latest/dg/lambda-managed-instances.html,"timeout 900 s (15 min); Lambda Managed Instances up to 5,400 s (90 min) for async and most ESM invocations; memory 128-10,240 MB; payload 6 MB sync / 1 MB async; package 50 MB zipped / 250 MB unzipped; container image 10 GB; default 1,000 concurrent executions per Region; sync vs async vs event source mapping invocation models",2026-09-21,check-B3b,"none; 900 s, 5,400 s Managed Instances (async + ESM except MQ/DocumentDB), 128-10,240 MB, 6 MB sync / 1 MB async, 50/250 MB, 10 GB image, 1,000 concurrency re-verified"
aws-ebs-vs-efs-vs-instance-store,concept (row 31; §3 usage fix),partial,https://docs.aws.amazon.com/AmazonS3/latest/userguide/upload-objects.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/qfacts.html | https://aws.amazon.com/efs/faq/ | https://docs.aws.amazon.com/ebs/latest/userguide/ebs-volume-types.html,"single PUT up to 5 GB; multipart up to 50 TB (48.8 TiB); S3 designed for 99.999999999% durability (existing card); EFS NFS-only, 11 nines; EBS one instance one AZ",2026-09-21,check-B3b,"none; 5 GB single PUT, 50 TB (48.8 TiB) multipart, EFS 11 nines NFS v4 re-verified"
aws-step-functions-standard-vs-express,concept (row 32),partial,https://docs.aws.amazon.com/step-functions/latest/dg/concepts-error-handling.html | https://docs.aws.amazon.com/step-functions/latest/dg/choosing-workflow-type.html,"Retry fields IntervalSeconds (default 1), MaxAttempts (default 3), BackoffRate (default 2.0), MaxDelaySeconds, JitterStrategy FULL/NONE; Catch on Task/Parallel/Map; States.Timeout from TimeoutSeconds/HeartbeatSeconds; Standard 1 year / Express 5 min retained from existing card",2026-09-21,check-B3b,"none; one year / five minutes, exactly-once vs at-least-once (async Express), per-transition vs executions+duration+memory billing, CloudWatch Logs history, Retry fields and JitterStrategy re-verified"
aws-elastic-ip-and-eni-failover,"mcq (row 34, LEAST amount of change)",partial,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/elastic-ip-addresses-eip.html | https://docs.aws.amazon.com/elasticloadbalancing/latest/network/introduction.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-eni.html,"EIP is static public IPv4, Region-scoped, rapidly remappable to another instance to mask failure; close connections before reassociating; default quota 5 per Region; NLB static IP per AZ (distractor)",2026-09-21,check-B3b,"none; EIP static, rapid remap masks failure, close connections first, 5 per Region; primary ENI cannot be detached, ENI same-AZ re-verified; qualifier verbatim, one correct, 4 options"
aws-aurora-backtrack-and-cloning,"mcq (row 35, FASTEST)",partial,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_PIT.html | https://docs.aws.amazon.com/AmazonRDS/latest/APIReference/API_CreateDBInstance.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-global-database.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Managing.Backtrack.html,"PITR creates a new DB instance; transaction logs uploaded every 5 minutes; LatestRestorableTime; BackupRetentionPeriod 0-35 days, default 1, 0 disables; Backtrack 72 h / enable at creation / Aurora MySQL only retained from existing card; Global Database doesn't support Backtrack",2026-09-21,check-B3b,"A: ""0 to 35 day retention window"" -> ""1 to 35 days; 0 switches automated backups off"" (API constraint 0-35, 0 disables); Backtrack ""enabled at cluster creation"" -> ""when created or restored from a snapshot, cannot be switched on later"" (doc: cannot modify a cluster to enable it); 72 h, Aurora MySQL only, PITR new instance, logs every 5 min, LatestRestorableTime re-verified"
aws-aurora-global-database,"mcq (row 36, LEAST operational overhead)",partial,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-global-database.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-global-database-disaster-recovery.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/Aurora.Replication.html,"up to 10 secondary Regions; storage-level replication, lag typically under a second; global writer endpoint; RTO order of minutes (secondary assumes primary role within a few minutes); RPO typically seconds; switchover RPO 0; rds.global_db_rpo (Aurora PostgreSQL, 20 s min); old primary re-added automatically after managed failover",2026-09-21,check-B3b,"WHY (cross-Region read replica): rewritten - Aurora PostgreSQL does not support cross-Region Aurora Replicas at all (Aurora.Replication.html); engine-level lag/manual promotion kept for engines that have it; 10 secondaries, lag under a second, writer endpoint, failover within a few minutes, auto re-add, switchover RPO 0, rds.global_db_rpo 20 s min re-verified"
aws-elasticache-redis-cluster-mode-and-multi-az,"mcq (row 37, HIGHEST availability)",partial,https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/AutoFailover.html | https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/SelectEngine.html,"Multi-AZ needs >=1 read replica; replica with least lag promoted, writes resume typically within a few seconds; primary endpoint DNS propagated; async replication may lose data; Memcached: no replication, no automatic failover, backup only for serverless",2026-09-21,check-B3b,"none; Multi-AZ needs a replica, least-lag replica promoted in a few seconds, primary endpoint DNS propagated, async replication data loss, Memcached no replication/failover/backup (node-based) re-verified"
aws-ec2-auto-recovery-and-status-checks,"mcq (row 38, LEAST amount of change)",partial,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-instance-recover.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/instance-configuration-recovery.html,"recovery triggered by system status check only; preserves instance ID, public/private/Elastic IPs, metadata, placement group, EBS volumes, AZ; loses RAM; simplified recovery on by default, not supported for metal, Dedicated Host, instance store volumes, EFA, Auto Scaling group members; CloudWatch action-based recovery includes metal and some instance-store types; StatusCheckFailed_System metric",2026-09-21,check-B3b,"none; preserved instance ID/IPs/metadata/EBS, RAM lost, looks like unplanned reboot, system check only, simplified recovery default on, excluded metal/Dedicated Host/instance store/EFA/ASG re-verified"
aws-route53-health-checks-failover,concept (row 39),partial,https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/health-checks-creating-values.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZ.Failover.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/Concepts.AuroraHighAvailability.html | https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/AutoFailover.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-global-database-disaster-recovery.html | https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/dns-failover-types.html,request interval 30 s standard / 10 s fast; failure threshold = consecutive checks; RDS Multi-AZ failover typically 60-120 s; Aurora typically <60 s often <30 s; ElastiCache Multi-AZ a few seconds; Aurora Global managed failover a few minutes; CloudWatch alarm health check for private endpoints,2026-09-21,check-B3b,"none; checkers cannot probe private ranges, CloudWatch alarm health check, active-passive answers primary until all primaries unhealthy, 30 s / 10 s intervals, failure threshold, RDS 60-120 s, Aurora <60/<30 s, ElastiCache seconds, Aurora Global few minutes re-verified"
